p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
9.9741567586e-07	1.37643363269e-05	GO:0009056	b	2	catabolic process	226; 230; 383; 526; 529; 533; 665; 669; 975; 1036; 1153; 1312; 1452; 1471; 1522; 1655; 1915; 1977; 2023; 3001; 3029; 3309; 3312; 3326; 3921; 4189; 4504; 4738; 4946; 5094; 5270; 5300; 5436; 5499; 5660; 5860; 6009; 6048; 6141; 6171; 6230; 6622; 6992; 7001; 7077; 7267; 7314; 7316; 7320; 7323; 7341; 7345; 7378; 7416; 7494; 9045; 9114; 9528; 9550; 10140; 10273; 10952; 11332; 11337; 11345; 51079; 89777; 79016; 51382; 51529; 84557; 84681; 60673; 51573; 155066; 140735; 25824; 29978; 26135	STUB1; TIMP2; BPGM; ATP6V1D; SUMO1; EEF1A1; PRDX5; HSPA8; CDO1; UBE2D3; EIF4E; HINT2; NDUFA13; PIN1; SEC61B; VDAC1; SERPINE2; XBP1; NEDD8; DNAJB9; TOB1; HSPA5; GABARAPL2; CD81; MT3; DYNLL2; ANAPC11; GABARAP; HSP90AB1; ATG101; HAGH; PCBP2; RPL41; CIRBP; MAP1LC3A; CST3; ATP6V1B2; SERPINB12; ATP6V0B; RPS25; BNIP3L; ATP6V1G1; TTC3; QDPR; UBC; COMT; PRDX2; PPP1R11; ENO1; CTSZ; GDE1; ALDOA; ACOT7; ALDOC; RPL18; ATP6V0D1; GZMA; RPL14; UPP1; RNF5; CSNK1A1; RPSA; PPP1CA; ARG1; UBE2B; ATP6V1E1; POLR2G; OAZ1; DDX5; UBQLN2; PSAP; UBB; SNCA; UCHL1; TMEM59; ATP6V0E2; RHEB; DDA1; SERBP1	2550	2542
1.46311068938e-06	5.4298248409e-05	GO:0006163	b	5	purine nucleotide metabolic process	226; 230; 526; 669; 1327; 1329; 1337; 1347; 2023; 2987; 3312; 4700; 4701; 4710; 4713; 4714; 4715; 4731; 4830; 5901; 6622; 6820; 10654; 11332; 84275; 9524; 25874	NDUFB9; MPC2; COX5B; NDUFB8; NDUFB7; NDUFB4; SLC25A33; ALDOC; NDUFV3; BPGM; RAN; TECR; ATP6V1B2; NDUFA6; NDUFA7; HSPA8; ENO1; COX4I1; GUK1; ALDOA; ACOT7; COX7A2; COX6A1; NME1; PMVK; SULT2B1; SNCA	528	526
1.47817373164e-06	5.4298248409e-05	GO:0009117	b	5	nucleotide metabolic process	226; 230; 526; 669; 1327; 1329; 1337; 1347; 2023; 2987; 3312; 4190; 4191; 4700; 4701; 4710; 4713; 4714; 4715; 4731; 4830; 5901; 6622; 6820; 7378; 10654; 11332; 84275; 56895; 9524; 25874	NDUFB9; MPC2; SLC25A33; COX5B; NDUFB8; NDUFB7; NDUFB4; MDH2; MDH1; ALDOC; NDUFV3; BPGM; RAN; TECR; ATP6V1B2; NDUFA6; NDUFA7; HSPA8; ENO1; COX4I1; GUK1; ALDOA; ACOT7; COX7A2; COX6A1; UPP1; NME1; PMVK; AGPAT4; SULT2B1; SNCA	661	658
1.55599777492e-06	3.31081748775e-05	GO:0032879	b	3	regulation of localization	87; 291; 383; 537; 665; 781; 805; 811; 928; 975; 1113; 1312; 2280; 2664; 2771; 2778; 468; 3190; 3301; 3309; 3312; 3326; 3382; 3488; 3642; 3746; 3799; 4043; 4072; 4131; 801; 4946; 5228; 5270; 5300; 5621; 5864; 5865; 5950; 6335; 6447; 6616; 6622; 6659; 6844; 6855; 6992; 7323; 7341; 7494; 8417; 8766; 8775; 9066; 9168; 9324; 9378; 9455; 9528; 56271; 10049; 10103; 10563; 10574; 10814; 10971; 11142; 11156; 340146; 84299; 51669; 50859; 347733; 415116; 54997; 27445; 25874; 27020; 27075; 3170; 29978	TSPAN13; HMGN3; KCNC1; HSPA5; LRPAP1; CHGA; SCG5; HSPA8; UBE2D3; SCN9A; CCT7; TMSB10; NRXN1; MIEN1; MPC2; PIN1; OAZ1; GNAI2; CD9; SERPINE2; XBP1; PGF; RAB11A; CACNA2D1; CALM2; CALM1; CD81; YWHAQ; ATP6AP1; DNAJB6; ICA1; PRNP; HSP90AB1; SUMO1; TSPAN1; HNRNPK; PCLO; SOX4; NAPA; TMEM59; CPLX2; HOMER2; PIM3; MAP1B; BEX4; BNIP3L; PTP4A3; FOXA2; TESC; SPOCK3; SYT7; SNCA; COMT; SARAF; SLC25A4; PPP1R11; VAMP2; RBP4; RAB3B; RAB3A; IGFBP5; EPCAM; CXCL13; GDI1; TUBB2B; NPTN; SNAP25; ACTN1; DNAJA1; GNAS; ARG1; CALR; PKIG; STX7; INSM1; UBQLN2; SYP; FKBP1A; SLC35D3; ATF4; KIF5B	2663	2659
1.66721384751e-06	3.3607521242e-05	GO:0006996	b	3	organelle organization	87; 226; 291; 403; 638; 665; 805; 811; 1072; 1113; 1153; 1266; 1347; 1452; 1522; 2288; 3326; 3799; 3831; 3856; 3875; 3921; 4131; 4504; 4700; 4701; 4710; 4713; 4714; 4715; 4731; 801; 5037; 5270; 5300; 5570; 5573; 5757; 5813; 5862; 5864; 5901; 6048; 6616; 6622; 6855; 7314; 7316; 7320; 7323; 7341; 7416; 7846; 8417; 8766; 8775; 9049; 9066; 9114; 9168; 9324; 9378; 10049; 10092; 10263; 10381; 10574; 253012; 10814; 10959; 10971; 10972; 11258; 11337; 11345; 51079; 51142; 55081; 51734; 84275; 122553; 55052; 146279; 222068; 50861; 83658; 83715; 8562; 51382; 51529; 84337; 51693; 84557; 60673; 347733; 54539; 23741; 27445; 140735; 140823; 25994; 126328; 100134934; 3170; 29978; 26135; 81873	TRAPPC2L; NDUFB9; NDUFB8; NDUFB7; NDUFB4; FKBP4; HEPACAM2; CDK2AP2; TMED10; PEBP1; CALM2; ESPN; CALM1; RAN; DYNLL2; ANAPC11; NDUFB11; GABARAP; HSP90AB1; SUMO1; NDUFA11; NAPA; NDUFA13; ATP6V0D1; IFT57; SLC25A4; CTSZ; SNAP25; PTMA; CNN3; KIF5B; NRXN1; SYT7; SYP; UBB; UBC; KLC1; RNF5; ATP6V1D; HMGN3; MRPL20; STMN3; UBE2D3; PKIB; SLC25A33; TEN1; SERPINE2; CHCHD2; DENR; TUBA1A; TEKT5; CCT7; RAB11A; FOXA2; PCLO; MAP1LC3A; MAP1B; ROMO1; EID1; TUBB3; ARPC5; COX7A2; TUBB2B; CSNK1A1; UBE2B; SNCA; KRT18; CFL1; CIRBP; MSRB1; TMSB10; DCTN3; VDAC1; KRT8; NDUFV3; TMED4; TMED2; DNAJB6; NDUFA6; NDUFA7; BNIP3L; PRKAR1A; RPSA; ARPC5L; STX7; TRAPPC6B; ATG101; CHGA; ARL3; AIP; RAB2A; PIN1; BIK; GABARAPL2; UBQLN2; MT3; YWHAQ; HIGD1A; DYNLRB1; SERBP1; CPLX2; RAB3A; ALDOA; ACTN1; CALR; PURA; ELOF1	3859	3852
1.77018147532e-06	5.47511378307e-05	GO:0006412	b	5	translation	811; 1153; 1915; 1938; 1974; 1977; 1984; 468; 56853; 3488; 3921; 4701; 5436; 5499; 5813; 6141; 6166; 6171; 6230; 6659; 6726; 9045; 10140; 10209; 10289; 10573; 51372; 55052; 8562; 27335	EIF1; TMA7; CIRBP; CELF4; MRPL28; SRP9; RPL36AL; RPL41; EIF5A; EIF1B; EIF3K; TOB1; DENR; SOX4; EEF1A1; MRPL20; NDUFA7; RPS25; RPL14; POLR2G; IGFBP5; EIF4E; RPL18; RPSA; PPP1CA; CALR; PURA; ATF4; EEF2; EIF4A2	633	630
1.77772397617e-06	5.47511378307e-05	GO:0006812	b	5	cation transport	383; 526; 529; 533; 537; 781; 801; 805; 1327; 1329; 1337; 1345; 1347; 1351; 2280; 2288; 2771; 468; 3746; 3775; 3799; 4504; 5270; 5621; 5865; 6335; 6616; 6622; 6844; 7341; 7416; 7991; 9066; 9114; 9296; 9455; 9550; 81615; 51382; 51669; 54997; 155066; 27075; 92745	ATP6V1D; ATP6V1F; KCNC1; COX5B; TUSC3; SUMO1; PRNP; TSPAN13; SCN9A; FKBP4; VDAC1; TESC; GNAI2; SERPINE2; CALM2; CALM1; MT3; ATP6AP1; KCNK1; COX8A; ATP6V1B2; HOMER2; COX6C; ATP6V0B; SLC38A5; SNCA; SARAF; COX4I1; RAB3B; COX7A2; CACNA2D1; COX6A1; ATP6V0D1; SNAP25; VAMP2; ARG1; KIF5B; ATP6V1E1; TMEM163; SYT7; ATP6V1G1; FKBP1A; ATF4; ATP6V0E2	1134	1133
1.78528344172e-06	6.2325394093e-05	GO:0006753	b	4	nucleoside phosphate metabolic process	226; 230; 526; 669; 1327; 1329; 1337; 1347; 2023; 2987; 3312; 4190; 4191; 4700; 4701; 4710; 4713; 4714; 4715; 4731; 4830; 5901; 6622; 6820; 7378; 10654; 11332; 84275; 56895; 9524; 25874	NDUFB9; MPC2; SLC25A33; COX5B; NDUFB8; NDUFB7; NDUFB4; MDH2; MDH1; ALDOC; NDUFV3; BPGM; RAN; TECR; ATP6V1B2; NDUFA6; NDUFA7; HSPA8; ENO1; COX4I1; GUK1; ALDOA; ACOT7; COX7A2; COX6A1; UPP1; NME1; PMVK; AGPAT4; SULT2B1; SNCA	667	664
1.78860341371e-06	5.47511378307e-05	GO:0090662	b	5	ATP hydrolysis coupled transmembrane transport	526; 529; 533; 537; 9114; 9296; 155066	ATP6V0B; ATP6V0E2; ATP6V1F; ATP6V1E1; ATP6AP1; ATP6V1B2; ATP6V0D1	33	33
1.84602718752e-06	6.2325394093e-05	GO:0072521	b	4	purine-containing compound metabolic process	226; 230; 526; 669; 1327; 1329; 1337; 1347; 2023; 2987; 3312; 4700; 4701; 4710; 4713; 4714; 4715; 4731; 4830; 5901; 6622; 6820; 7276; 10654; 11332; 84275; 9524; 25874	NDUFB9; MPC2; COX5B; NDUFB8; NDUFB7; NDUFB4; SLC25A33; ALDOC; NDUFV3; BPGM; RAN; TTR; TECR; ATP6V1B2; NDUFA6; NDUFA7; HSPA8; ENO1; COX4I1; GUK1; ALDOA; ACOT7; COX7A2; COX6A1; NME1; PMVK; SULT2B1; SNCA	567	565
1.92088262582e-06	5.57055961488e-05	GO:0051172	b	5	negative regulation of nitrogen compound metabolic process	796; 801; 805; 811; 862; 1153; 1312; 1471; 1522; 1655; 1974; 1977; 2023; 2274; 2280; 429; 2771; 468; 3001; 3190; 3281; 3301; 3312; 3326; 3400; 56853; 3488; 3642; 3727; 4212; 4504; 4803; 5037; 5270; 5300; 5570; 5573; 5621; 5813; 6432; 6622; 6659; 6692; 6726; 6992; 7077; 7314; 7316; 7320; 7323; 7341; 7345; 7555; 9528; 56271; 22980; 10049; 10140; 10971; 11007; 11142; 11345; 51079; 78986; 89777; 50859; 84681; 54997; 55450; 55502; 23741; 25824; 100134934; 64207	CCDC85B; NGF; YWHAQ; TIMP2; SERPINB12; SUMO1; CIRBP; DUSP26; HSPA8; JUND; SRP9; DNAJB6; CNBP; HINT2; BEX4; RUNX1T1; SPOCK3; PIN1; TCF25; GNAI2; TEN1; SERPINE2; HSBP1; HSP90AB1; SRSF7; SPINT1; CALM2; CALM1; MT3; UBC; PRNP; MEIS2; SNCA; FHL2; HNRNPK; SOX4; TMEM59; CST3; PRDX5; PKIG; CELF4; PEBP1; TESC; NDUFA13; ASCL1; IRF2BPL; COMT; IGFBP5; UBE2D3; PPP1R11; ENO1; CTSZ; PRKAR1A; CALCA; EIF4E; TOB1; UCHL1; EID1; DNAJA1; GZMA; CALR; UBE2B; PKIB; INSM1; DDX5; PURA; GABARAPL2; UBB; FKBP1A; ATF4; CAMK2N1; ID4; HES6; EIF4A2	2369	2366
2.0255971254e-06	3.87901849514e-05	GO:0051656	b	3	establishment of organelle localization	537; 805; 1113; 1522; 3799; 4131; 801; 5864; 5870; 5901; 6616; 6622; 6844; 6855; 7314; 7320; 7345; 8766; 8775; 9066; 10814; 10959; 10972; 122553; 51693; 27445	TRAPPC2L; CHGA; RAB6A; TMED10; CALM2; TMED2; CALM1; RAN; ATP6AP1; RAB11A; PCLO; NAPA; MAP1B; CPLX2; CTSZ; RAB3A; UCHL1; SNAP25; VAMP2; KIF5B; UBE2B; SYT7; TRAPPC6B; SYP; UBB; SNCA	503	503
2.08845490463e-06	6.73052057903e-05	GO:0090150	b	4	establishment of protein localization to membrane	801; 805; 2664; 3875; 3921; 5621; 6141; 6171; 6230; 6616; 6726; 6727; 6844; 7095; 8766; 9045; 10952; 10971; 51079; 140823	SNAP25; RPS25; CALM2; RPSA; CALM1; RPL14; SEC61B; YWHAQ; PRNP; ROMO1; SRP9; RAB11A; VAMP2; NDUFA13; SEC62; SRP14; GDI1; RPL18; RPL41; KRT18	323	322
2.15440989619e-06	2.70280514249e-05	GO:0055114	b	2	oxidation-reduction process	226; 230; 669; 1036; 1327; 1329; 1337; 1345; 1347; 1351; 1727; 2023; 2778; 4190; 4191; 4504; 4700; 4701; 4710; 4713; 4714; 4715; 4731; 5499; 5860; 6307; 6622; 7001; 10797; 10975; 51079; 51218; 51734; 54539; 55847; 9524; 123099; 25824; 25994; 126328	MSMO1; CYB5R3; NDUFB9; NDUFB8; NDUFB7; UQCR11; PRDX5; NDUFB4; MSRB1; CDO1; MDH2; MDH1; COX7A2; NDUFV3; COX5B; BPGM; MT3; HIGD1A; NDUFB11; NDUFA11; COX8A; NDUFA13; COX6C; NDUFA6; NDUFA7; CISD1; GLRX5; QDPR; PRDX2; ENO1; COX4I1; ALDOA; ALDOC; COX6A1; DEGS2; TECR; MTHFD2; GNAS; PPP1CA; SNCA	991	991
2.2477772472e-06	6.19262631605e-05	GO:0006120	b	5	mitochondrial electron transport, NADH to ubiquinone	4700; 4701; 4710; 4713; 4714; 4715; 4731; 6622	NDUFA6; NDUFA7; NDUFB9; NDUFB8; NDUFB7; NDUFB4; NDUFV3; SNCA	48	48
2.77140356498e-06	4.99864182868e-05	GO:0048519	b	3	negative regulation of biological process	87; 291; 333; 383; 665; 796; 805; 811; 862; 928; 1072; 1113; 1153; 1312; 1452; 1471; 1522; 1655; 1974; 1977; 2023; 2274; 2280; 2288; 429; 2664; 2771; 468; 3001; 3190; 3281; 3301; 3309; 3312; 3326; 3400; 56853; 3488; 3642; 3727; 3875; 3921; 4043; 4072; 4131; 4189; 4212; 4504; 4803; 801; 4830; 4946; 5037; 5094; 5270; 5300; 5435; 5436; 5570; 5573; 5621; 5660; 5813; 5901; 5909; 5950; 6009; 6048; 6141; 6171; 6230; 6432; 6622; 6659; 6692; 6726; 6820; 6992; 7001; 7077; 7314; 7316; 7320; 7323; 7341; 7345; 7416; 7494; 7555; 7857; 9045; 9168; 9378; 9455; 9528; 56271; 22980; 10049; 10140; 10263; 10273; 10439; 10563; 10959; 10971; 11007; 11142; 11345; 51079; 55081; 78986; 84275; 84299; 29937; 89777; 80306; 50859; 50861; 83715; 84681; 415116; 54997; 55450; 55466; 55502; 23741; 56649; 25824; 25994; 100134934; 3170; 29978; 26135; 64207	TIMP2; HSPA5; SUMO1; HSPA8; SCG2; SRP9; FKBP4; HINT2; APLP1; CDK2AP2; PEBP1; SPINT1; CALM2; ESPN; CALM1; RAN; PRNP; HSP90AB1; TMEM59; IFT57; IRF2BPL; SLC25A4; RPL14; CTSZ; RBP4; CXCL13; RPL18; DNAJA1; NME1; DNAJA4; PKIG; SERBP1; PKIB; DDX5; FOXA2; UBB; UBC; RNF5; MED28; NGF; STMN3; CELF4; UBE2D3; NRXN1; SLC25A33; TEN1; SERPINE2; HSBP1; SRSF7; MEIS2; PCBP2; DUSP26; MAP1B; SERPINB12; FKBP1A; PPP1R11; POLR2G; POLR2F; IGFBP5; EIF4E; EID1; GDI1; GZMA; ARG1; UBE2B; PSAP; INSM1; STUB1; SULT2B1; SNCA; HES6; KRT18; LRPAP1; CIRBP; CNBP; OLFM1; TMSB10; VDAC1; GNAI2; CD9; RPL41; DNAJB9; TMED2; DNAJB6; FHL2; HNRNPK; CST3; RPS25; BNIP3L; NDUFA13; ASCL1; COMT; JUND; ENO1; PRKAR1A; TCF25; UCHL1; CSNK1A1; RPSA; ID4; RHEB; CCDC85B; CHGA; PRDX5; NENF; PRDX2; RUNX1T1; PIN1; TESC; MIEN1; SOX4; XBP1; TOB1; RAP1GAP; GABARAPL2; UBQLN2; MT3; YWHAQ; HIGD1A; HOMER2; BEX4; PIM3; SPOCK3; TMPRSS4; CFL1; CALCA; EPCAM; ACTN1; CALR; OAZ1; PURA; ATF4; CAMK2N1; EIF4A2	5219	5201
2.81964334469e-06	8.42697794766e-05	GO:0022904	b	4	respiratory electron transport chain	1327; 1329; 1337; 4700; 4701; 4710; 4713; 4714; 4715; 4731; 6622	NDUFA6; NDUFA7; NDUFB9; COX5B; NDUFB8; NDUFB7; NDUFB4; NDUFV3; COX4I1; SNCA; COX6A1	103	103
2.85257363532e-06	8.42697794766e-05	GO:0072594	b	4	establishment of protein localization to organelle	665; 801; 805; 3301; 3312; 3921; 4504; 5901; 6141; 6171; 6230; 6726; 6727; 7095; 7314; 7316; 7323; 8766; 9045; 9049; 9789; 10574; 10952; 10971; 11142; 51079; 140823	SPCS2; HSPA8; UBE2D3; SRP9; ROMO1; SEC61B; RPL41; CALM2; CALM1; RAN; MT3; YWHAQ; CCT7; RAB11A; SRP14; RPS25; BNIP3L; NDUFA13; AIP; RPL14; SEC62; RPL18; DNAJA1; RPSA; PKIG; UBB; UBC	546	545
2.87128251256e-06	4.99864182868e-05	GO:0055086	b	3	nucleobase-containing small molecule metabolic process	226; 230; 526; 669; 1327; 1329; 1337; 1347; 2023; 2762; 2987; 3312; 4190; 4191; 4700; 4701; 4710; 4713; 4714; 4715; 4731; 4830; 5901; 6622; 6820; 7276; 7378; 10654; 11332; 84275; 56895; 9524; 25874	NDUFB9; MPC2; SLC25A33; COX5B; NDUFB8; NDUFB7; NDUFB4; MDH2; MDH1; ALDOC; NDUFV3; BPGM; RAN; TTR; TECR; GMDS; ATP6V1B2; NDUFA6; NDUFA7; HSPA8; ENO1; COX4I1; GUK1; ALDOA; ACOT7; COX7A2; COX6A1; UPP1; NME1; PMVK; AGPAT4; SULT2B1; SNCA	752	749
3.1453862929e-06	8.25289451137e-05	GO:0034248	b	5	regulation of cellular amide metabolic process	811; 1153; 1915; 1938; 1974; 1977; 1984; 468; 56853; 3488; 5436; 5499; 5621; 5813; 6622; 6659; 6726; 10140; 10209; 10289; 10972; 27335	EIF1; CELF4; SRP9; SOX4; TMED10; EIF1B; EIF3K; TOB1; EEF1A1; PRNP; CIRBP; EIF5A; POLR2G; IGFBP5; EIF4E; PPP1CA; CALR; PURA; SNCA; ATF4; EEF2; EIF4A2	390	390
3.43913802569e-06	5.72691245148e-05	GO:0031647	b	3	regulation of protein stability	811; 975; 3312; 3326; 4504; 5300; 5479; 5621; 6048; 6622; 6659; 7320; 7341; 7494; 10103; 10273; 10574; 54997	UBE2B; STUB1; CD81; MT3; CALR; HSPA8; PRNP; CCT7; TESC; HSP90AB1; SUMO1; TSPAN1; SNCA; PIN1; RNF5; PPIB; SOX4; XBP1	277	276
4.23648402209e-06	0.000120146686867	GO:1901566	b	4	organonitrogen compound biosynthetic process	226; 230; 383; 669; 811; 1036; 1153; 1329; 1644; 1915; 1938; 1974; 1977; 1984; 2023; 2643; 468; 2949; 2987; 3029; 3190; 56853; 3488; 3642; 3921; 4504; 4701; 4830; 4946; 5122; 5436; 5499; 5813; 5860; 6141; 6166; 6171; 6185; 6230; 6622; 6659; 6726; 7378; 7991; 9045; 9528; 10140; 10209; 10289; 10573; 11332; 51372; 55052; 8562; 56895; 9524; 123099; 25874; 27335; 29906	EIF1; RPN2; MPC2; TMA7; COX5B; TUSC3; EEF1A1; CELF4; CDO1; SRP9; DDC; RPS25; RPL36AL; OAZ1; RPL41; EIF5A; EIF1B; EIF3K; TOB1; BPGM; HAGH; MT3; TECR; HNRNPK; SOX4; CIRBP; MRPL20; NDUFA7; DENR; PCSK1; ALDOA; QDPR; TMEM59; DEGS2; MRPL28; RPL14; ENO1; POLR2G; GUK1; IGFBP5; EIF4E; ACOT7; ALDOC; RPL18; UPP1; NME1; RPSA; PPP1CA; ARG1; CALR; GCH1; GSTM5; INSM1; PURA; AGPAT4; SNCA; ATF4; ST8SIA5; EEF2; EIF4A2	1821	1817
4.25260691309e-06	0.000106508473141	GO:0032268	b	5	regulation of cellular protein metabolic process	537; 796; 801; 805; 811; 975; 1153; 1452; 1471; 1522; 1938; 1974; 1977; 1984; 2023; 2280; 2771; 468; 3301; 3309; 3326; 56853; 3488; 3642; 4504; 4803; 5037; 5228; 5270; 5300; 5436; 5479; 5499; 5570; 5573; 5621; 5660; 5813; 6622; 6659; 6692; 6726; 6992; 7001; 7077; 7314; 7316; 7320; 7341; 7345; 9528; 56271; 10049; 10140; 10209; 10273; 10289; 10912; 11142; 11345; 51079; 55081; 78986; 79016; 89777; 50859; 84681; 54997; 55450; 23741; 23787; 25824; 25994; 27020; 27335; 29937; 29978	EIF1; DDA1; NGF; PKIG; TIMP2; HSPA5; SUMO1; CIRBP; DUSP26; CELF4; PRDX2; SRP9; NENF; HINT2; EID1; SPOCK3; PIN1; GADD45G; GNAI2; SERPINE2; EIF5A; PGF; PEBP1; SPINT1; CALM2; HIGD1A; CALM1; CD81; MT3; UBC; ATP6AP1; DNAJB6; PRNP; HSP90AB1; SOX4; TMEM59; CST3; SERPINB12; PRDX5; EIF1B; BEX4; IFT57; TESC; NDUFA13; SNCA; IGFBP5; PPP1R11; ENO1; CTSZ; EIF3K; PRKAR1A; CALCA; EIF4E; TOB1; NPTN; UCHL1; DNAJA1; CSNK1A1; MTCH1; PPP1CA; CALR; UBE2B; PSAP; POLR2G; PKIB; INSM1; STUB1; PURA; UBQLN2; GABARAPL2; UBB; FKBP1A; ATF4; CAMK2N1; PPIB; EEF2; EIF4A2	2556	2550
4.57286506013e-06	7.29753049179e-05	GO:0070887	b	3	cellular response to chemical stimulus	333; 383; 526; 529; 533; 537; 665; 781; 796; 811; 1036; 1072; 1113; 1644; 1655; 1915; 1938; 1974; 1977; 2023; 2274; 2288; 2643; 2771; 468; 3301; 3309; 3312; 3326; 3488; 3727; 3746; 3799; 3856; 3875; 4062; 4189; 4504; 4803; 4830; 5228; 5300; 5435; 5436; 5573; 5621; 5660; 5860; 5901; 6048; 6432; 6622; 6659; 6692; 6844; 6855; 7001; 7314; 7316; 7323; 7341; 7494; 7857; 9049; 9066; 9114; 9296; 9324; 9550; 9987; 10140; 10273; 10563; 11156; 51079; 51142; 84275; 375704; 51330; 51382; 84557; 415116; 54997; 155066; 140823; 25824; 25874; 25994; 27020; 3170	MPC2; HSPA5; SUMO1; HSPA8; SCG2; FKBP4; APLP1; SPINT1; RAN; ATP6AP1; HSP90AB1; PTP4A3; NDUFA13; ATP6V0D1; CDO1; CXCL13; CACNA2D1; NME1; DNAJA1; HNRNPDL; KIF5B; SYT7; DDX5; SYP; UBB; UBC; RNF5; ATP6V1D; NGF; ATP6V1F; HMGN3; UBE2D3; SLC25A33; TNFRSF12A; CHCHD2; SRSF7; FOXA2; MAP1LC3A; ROMO1; POLR2G; POLR2F; IGFBP5; DDC; ARG1; GCH1; PSAP; STUB1; ATP6V1G1; SNCA; KRT18; PRNP; EIF4E; KRT8; GNAI2; DNAJB9; FHL2; EEF1A1; ATP6V0B; BNIP3L; QDPR; LY6H; ENO1; PRKAR1A; ENHO; ATP6V1E1; KCNC1; CHGA; PRDX5; PRDX2; PIN1; SOX4; XBP1; PGF; TOB1; MT3; HIGD1A; ATP6V1B2; PIM3; JUND; CFL1; CALCA; NPTN; VAMP2; CALR; TESC; AIP; ATF4; ATP6V0E2; EIF4A2; EEF2	3148	3141
4.76152664434e-06	0.000129843168878	GO:1901701	b	4	cellular response to oxygen-containing compound	333; 383; 526; 529; 533; 537; 781; 1977; 2643; 2771; 468; 3309; 3488; 3799; 4062; 4504; 4830; 5573; 5621; 5660; 6622; 6659; 6844; 7001; 7494; 9114; 9296; 9324; 9550; 10563; 51079; 84275; 375704; 51382; 84557; 415116; 54997; 155066; 140823; 25824; 25874; 3170	ATP6V1D; ATP6V1F; HMGN3; HSPA5; PSAP; PRDX5; PRDX2; SLC25A33; APLP1; GNAI2; SOX4; XBP1; MT3; ATP6AP1; PRNP; NDUFA13; MAP1LC3A; ATP6V1B2; ATP6V0B; ROMO1; PIM3; MPC2; LY6H; PRKAR1A; IGFBP5; EIF4E; CXCL13; CACNA2D1; ATP6V0D1; VAMP2; NME1; ARG1; KIF5B; GCH1; ATP6V1E1; TESC; FOXA2; ATP6V1G1; SNCA; ATF4; ATP6V0E2; ENHO	1104	1100
5.41304953555e-06	0.000142142671137	GO:0045333	b	4	cellular respiration	1327; 1329; 1337; 4190; 4191; 4700; 4701; 4710; 4713; 4714; 4715; 4731; 6622; 55847	NDUFA6; NDUFA7; CISD1; NDUFB9; COX5B; NDUFB8; NDUFB7; NDUFB4; NDUFV3; COX4I1; MDH2; MDH1; SNCA; COX6A1	179	179
5.74519208675e-06	0.000145476471054	GO:0043086	b	4	negative regulation of catalytic activity	1266; 1471; 1974; 2280; 2771; 3001; 3301; 4504; 4803; 4946; 5037; 5270; 5570; 5573; 5621; 6447; 6622; 6692; 6992; 7077; 7345; 9049; 10049; 10959; 11142; 78986; 89777; 50859; 54997; 55450; 25824; 100134934; 3170	NGF; TIMP2; SCG5; AIP; TEN1; TESC; GNAI2; SERPINE2; PEBP1; SPINT1; TMED2; MT3; PRNP; DNAJB6; SPOCK3; DUSP26; CST3; PRDX5; SERPINB12; FKBP1A; PPP1R11; PRKAR1A; UCHL1; DNAJA1; GZMA; CNN3; PKIG; PKIB; OAZ1; FOXA2; SNCA; CAMK2N1; EIF4A2	776	774
6.06628007994e-06	0.000148310088851	GO:0051049	b	4	regulation of transport	291; 383; 537; 665; 781; 801; 805; 811; 1113; 1312; 2280; 2664; 2771; 2778; 468; 3190; 3301; 3312; 3382; 3746; 3799; 4043; 4131; 4946; 5270; 5621; 5864; 5865; 5950; 6335; 6447; 6616; 6622; 6659; 6844; 6855; 6992; 7323; 7341; 7494; 8766; 8775; 9066; 9324; 9378; 9455; 10103; 10814; 10971; 11142; 340146; 51669; 415116; 54997; 27445; 25874; 27075; 3170; 29978	HMGN3; KCNC1; LRPAP1; CHGA; SCG5; HSPA8; UBE2D3; SCN9A; MPC2; SYT7; GNAI2; SERPINE2; XBP1; CACNA2D1; CALM2; CALM1; CPLX2; YWHAQ; ATP6AP1; ICA1; PRNP; RAB11A; SUMO1; TSPAN1; HNRNPK; PCLO; SOX4; NAPA; HOMER2; MAP1B; TSPAN13; BNIP3L; PIM3; FOXA2; TESC; SNCA; COMT; SARAF; SLC25A4; PPP1R11; VAMP2; RBP4; RAB3B; RAB3A; GDI1; SNAP25; DNAJA1; GNAS; ARG1; CALR; PKIG; NRXN1; OAZ1; UBQLN2; SYP; FKBP1A; SLC35D3; ATF4; KIF5B	1799	1796
