,0
GM5415,0.0
GM37724,0.0
GM37591,0.0
PRIM2,0.041979164
RAB23,0.0
BAG2,0.14927083
ZFP451,0.11322918
BEND6,0.0
DST,0.3948958
GM37958,0.0
GM37233,0.0
CCDC115,0.36177078
GM28306,0.0
IMP4,0.47552082
PTPN18,0.3278125
4930568A12RIK,0.0
PRSS39,0.0
CFC1,0.050520834
PRSS40,0.0
1700101I19RIK,0.0
AMER3,0.0
ARHGEF4,0.0171875
GM38336,0.0
FAM168B,0.22072917
PLEKHB2,0.4239583
GM37068,0.0
GM28415,0.0
1110002O04RIK,0.0
GM37146,0.0
GM33222,0.0
4930535G08RIK,0.0
HS6ST1,0.2115625
GM37335,0.0
GM33280,0.0
UGGT1,0.24239583
NEURL3,0.061354164
ARID5A,0.20552085
4930403P22RIK,0.045208335
KANSL3,0.13645834
FER1L5,0.0
LMAN2L,0.42718753
CNNM4,0.027395835
CNNM3,0.044479165
GM38033,0.0
ANKRD23,0.028020835
ANKRD39,0.11989584
SEMA4C,0.06020833
FAM178B,0.024479166
COX5B,1.763021
ACTR1B,0.5045833
GM33533,0.0
ZAP70,0.0
TMEM131,0.045833334
VWA3B,0.017604167
GM37020,0.0
CNGA3,0.0
INPP4A,0.037916664
4930439A04RIK,0.0
COA5,0.0528125
UNC50,0.78010416
MGAT4A,0.22729166
2010300C02RIK,0.17708333
4930556I23RIK,0.0
TSGA10,0.03697917
GM26805,0.0
LIPT1,0.023125
MITD1,0.16177084
MRPL30,1.2865626
LYG2,0.0
GM15457,0.0
LYG1,0.0
TXNDC9,0.6914584
EIF5B,0.48562503
REV1,0.0334375
GM5099,0.0
AFF3,0.0
GM16150,0.0
GM16151,0.0
GM16152,0.0
LONRF2,0.0475
CHST10,0.0
GM37707,0.0
NMS,0.0
PDCL3,0.89833325
GM37821,0.0
NPAS2,0.024479166
RPL31,0.23208332
TBC1D8,0.090624996
CNOT11,0.4028125
RNF149,0.4403125
CREG2,0.019583333
D930019O06RIK,0.0
RFX8,0.0
GM3646,0.0
1700066B17RIK,0.0
MAP4K4,0.10093751
IL1R2,0.1184375
GM16894,0.0
IL1R1,0.005625
IL1RL2,0.031458333
IL1RL1,0.0
IL18R1,0.16156252
IL18RAP,0.0
GM35801,0.0
SLC9A4,0.0
SLC9A2,0.0315625
GM37623,0.0
GM37915,0.0
MFSD9,0.0
TMEM182,0.0
4930448I06RIK,0.0
GM28634,0.0
GM29260,0.0
GM9915,0.0
GM29664,0.0
GM28175,0.0
GM28140,0.0
PANTR1,0.0
POU3F3,0.0
DALIR,0.0
MRPS9,0.3003125
GPR45,0.0
TGFBRAP1,0.095104165
GM28782,0.0
8430432A02RIK,0.025729166
AI597479,0.07989583
FHL2,0.9111459
GM29040,0.0
NCK2,0.03291667
1500015O10RIK,0.057708334
GM29155,0.0
GM29157,0.0
GM29156,0.0
UXS1,0.16708332
TPP2,0.17885417
METTL21C,0.0
GM8251,0.0
TEX30,0.13364583
KDELC1,0.03625
BIVM,0.0146875
ERCC5,0.059479166
METTL21E,0.0
GULP1,0.0
4930521E06RIK,0.0
COL3A1,0.018958334
COL5A2,0.0
WDR75,0.100625
GM5269,0.0
SLC40A1,0.13697916
DNAH7B,0.0
DNAH7C,0.0
SLC39A10,0.063229166
GM28151,0.0
GM28826,0.0
C230029F24RIK,0.0
4933411E06RIK,0.0
GM29665,0.0
GM28321,0.0
TMEFF2,0.0
GM28322,0.0
GM28319,0.0
GM29325,0.018125
9330175M20RIK,0.0
SDPR,0.15291667
1700072G22RIK,0.0
NABP1,0.1159375
GM17767,0.018333333
GM28055,0.0
MYO1B,0.15020834
STAT4,0.0
STAT1,0.067187496
GLS,0.33406246
NAB1,0.079479165
GM553,0.0
GM28178,0.0
TMEM194B,0.009895833
MFSD6,0.3242708
INPP1,0.20875002
HIBCH,0.28187504
1700019D03RIK,0.11541667
MSTN,0.0
1700019A02RIK,0.0
PMS1,0.0
GM28777,0.0
ORMDL1,0.098645836
GM28778,0.0
OSGEPL1,0.069062494
GM28551,0.0196875
ASNSD1,0.10645833
DNAH7A,0.010625
STK17B,0.0771875
HECW2,0.0
CCDC150,0.0
GTF3C3,0.005625
PGAP1,0.0
ANKRD44,0.0734375
4930444A19RIK,0.0
SF3B1,1.0290624
COQ10B,0.33322918
HSPD1,0.7555208
HSPE1,1.4261456
MOB4,0.6942709
RFTN2,0.0
GM10561,0.0
MARS2,0.022083333
BOLL,0.0
PLCL1,0.0
9130227L01RIK,0.0
1700003I22RIK,0.0
GM28240,0.0
HSFY2,0.0
SATB2,0.0
1700126A01RIK,0.0
BC055402,0.0
4930558J18RIK,0.0
1700066M21RIK,0.018125
TYW5,0.20666666
9430016H08RIK,0.239375
SPATS2L,0.14760417
GM17234,0.0
KCTD18,0.06802083
SGOL2A,0.0
AOX1,0.056458335
AOX3,0.27552083
AOX4,0.017083334
GM15759,0.0
AOX2,0.020104166
BZW1,0.64635414
CLK1,0.5304166
PPIL3,0.0525
NIF3L1,0.15499999
ORC2,0.10520833
GM15834,0.020104168
FAM126B,0.027291665
NDUFB3,1.0175
ALS2CR12,0.0
CFLAR,0.22791667
CASP8,0.117708325
TRAK2,0.026354166
STRADB,0.114583336
GM29018,0.0
ALS2CR11,0.0
TMEM237,0.29416665
G730003C15RIK,0.04677083
MPP4,0.0
GM29017,0.0
ALS2,0.0
CDK15,0.0
GM29016,0.0
FZD7,0.0
GM26813,0.0
GM973,0.021875
GM28411,0.0
1700122D07RIK,0.0
SUMO1,1.695
NOP58,0.15729167
BMPR2,0.15135416
FAM117B,0.10364584
ICA1L,0.064479165
WDR12,0.06427083
CARF,0.027916668
NBEAL1,0.048750002
CYP20A1,0.31604168
ABI2,0.11781249
RAPH1,0.0596875
CD28,0.0
GM11579,0.0
2310016D23RIK,0.0
CTLA4,0.0
ICOS,0.0
GM28083,0.0
GM11587,0.0
9530026F06RIK,0.0
GM11588,0.0
GM28449,0.0
4930587A21RIK,0.0
PARD3B,0.0
PARD3BOS1,0.0
PARD3BOS2,0.0
PARD3BOS3,0.0
GM29084,0.0
NRP2,0.0
GM29083,0.0
GM4208,0.0
INO80D,0.09552083
INO80DOS,0.0
GM20342,0.028020835
NDUFS1,0.39895833
EEF1B2,1.8872918
GPR1,0.0
GM11608,0.0
ZDBF2,0.0
ADAM23,0.0
DYTN,0.0
MDH1B,0.0
FASTKD2,0.06729167
4933402D24RIK,0.0
GM13749,0.0
KLF7,0.78833336
GM26649,0.0
GM13748,0.0
GM28981,0.0
CREB1,0.07333333
METTL21A,0.108645834
GM28982,0.0
GM29152,0.0
CCNYL1,0.046041667
FZD5,0.03625
PLEKHM3,0.0
AKR1CL,0.0
CRYGE,0.0
CRYGD,0.0
CRYGC,0.0
CRYGB,0.0
CRYGA,0.0
GM28845,0.0
D630023F18RIK,0.0
IDH1,0.29645833
PIKFYVE,0.107499994
PTH2R,0.0
CRYGF,0.0
MAP2,0.1396875
GM10558,0.0
UNC80,0.1315625
RPE,0.18239582
KANSL1L,0.07114583
ACADL,1.023125
MYL1,0.0
LANCL1,0.43072915
CPS1,0.0
GM15668,0.0
GM15669,0.0
GM15671,0.0
ERBB4,0.0
GM28497,0.0
GM29113,0.0
GM29114,0.0
IKZF2,0.0490625
SPAG16,0.034479167
VWC2L,0.0
BARD1,0.0
ABCA12,0.0
ATIC,0.17145835
FN1,0.0
APOL7D,0.0
GM8883,0.0
GM28818,0.0
4933417E11RIK,0.0
4930556G22RIK,0.0
GM4319,0.0
MREG,0.0
D230017M19RIK,0.08614584
PECR,0.042916667
TMEM169,0.0
XRCC5,0.23177083
MARCH4,0.0171875
SMARCAL1,0.017395834
ANKAR,0.0
RPL37A,4.189897
IGFBP2,0.0
IGFBP5,2.9265625
1700027A15RIK,0.0
TNP1,0.0
GM29185,0.0
PINC,0.0
D530049I02RIK,0.0
C530043A13RIK,0.0
GM29186,0.0
6030407O03RIK,0.0
GM29183,0.0
TNS1,0.018333333
RUFY4,0.0
CXCR2,0.0
CXCR1,0.0
ARPC2,2.5135415
GPBAR1,0.0
AAMP,1.1959375
GM28364,0.0
PNKD,0.755521
TMBIM1,0.8655209
CATIP,0.0
SLC11A1,0.0
CTDSP1,0.31666663
VIL1,0.3339583
USP37,0.0
RQCD1,0.0184375
PLCD4,0.0
ZFP142,0.0
BCS1L,0.08708334
RNF25,0.12927084
STK36,0.0
TTLL4,0.0
CYP27A1,0.0
PRKAG3,0.0
WNT6,0.0
GM29539,0.0
WNT10A,0.08041667
CDK5R2,0.0946875
FEV,0.0
CRYBA2,0.7534377
CCDC108,0.016354168
GM15841,0.0
IHH,0.0
NHEJ1,0.067708336
SLC23A3,0.0
CNPPD1,0.41416666
FAM134A,0.78010416
ZFAND2B,0.64864576
ABCB6,0.076249994
ATG9A,0.14135416
ANKZF1,0.12875
GLB1L,0.006458333
STK16,0.5521875
TUBA4A,0.8407292
A630095N17RIK,0.0
DNAJB2,0.43989587
PTPRN,0.09729167
GM28294,0.0
RESP18,0.91895837
GM28902,0.0
DNPEP,0.66177076
DES,0.0
GM15179,0.0
SPEG,0.0
GM15178,0.0
GMPPA,0.35416666
ASIC4,0.0
CHPF,0.19854166
OBSL1,0.041875
TMEM198,0.25020835
INHA,0.04479167
STK11IP,0.08677083
SLC4A3,0.06708333
GM29065,0.0
GM29069,0.0
GM17751,0.0
GM816,0.0
EPHA4,0.0284375
GM28386,0.0
GM28387,0.0
PAX3,0.0
SGPP2,0.0
GM28410,0.0
FARSB,0.26125
BC035947,0.0
MOGAT1,0.0
5730419F03RIK,0.0
GM29611,0.0
ACSL3,0.28229168
UTP14B,0.20895833
GM29536,0.0
KCNE4,0.0
GM29187,0.0
SCG2,1.1405209
AP1S3,0.09552083
WDFY1,0.12614584
MRPL44,0.23739582
SERPINE2,1.0522918
9830004L10RIK,0.0
FAM124B,0.0
2310015K22RIK,0.0
CUL3,0.21218748
GM29125,0.0
1700016L21RIK,0.0
DOCK10,0.0
NYAP2,0.0
IRS1,0.0
GM9747,0.0
RHBDD1,0.13635416
GM28940,0.0
COL4A4,0.0
COL4A3,0.0
MFF,0.9984376
TM4SF20,0.0
GM28942,0.0
AGFG1,0.113125
SLC19A3,0.0
KRTAP28-10,0.0
KRTAP28-13,0.0
CCL20,0.10302084
DAW1,0.032708336
SPHKAP,0.0
4933436I20RIK,0.0
PID1,0.0403125
DNER,0.39291668
TRIP12,0.17083333
FBXO36,0.10270834
SLC16A14,0.0
C130026I21RIK,0.0
A530032D15RIK,0.0
GM10553,0.0
A530040E14RIK,0.0
GM16028,0.0
GM16025,0.0
GM16092,0.0
G530012D18RIK,0.0
SP110,0.023229167
GM16094,0.0
SP140,0.0
GM10552,0.0
GM17017,0.0
SP100,0.074687496
A630001G21RIK,0.0184375
9930111H07RIK,0.0
CAB39,0.33802083
ITM2C,1.5804163
4933407L21RIK,0.0
GM28884,0.0
GPR55,0.0
GM28100,0.0
SPATA3,0.0
2810459M11RIK,0.0
PSMD1,0.61677074
HTR2B,0.0
GM21972,0.0
ARMC9,0.09614584
GM16341,0.0
B3GNT7,0.0
GM28626,0.0
NCL,1.0083336
NMUR1,0.0
1700019O17RIK,0.0
PTMA,4.4373965
PDE6D,0.51135415
COPS7B,0.14333333
NPPC,0.013750001
DIS3L2,0.02635417
GM28375,0.0
GM29371,0.0
ALPPL2,0.0
ALPI,0.0
AKP3,0.0
GM29374,0.0
ECEL1,0.0
PRSS56,0.0
CHRND,0.0
CHRNG,0.0
EIF4E2,0.4746875
EFHD1,0.0
EFHD1OS,0.0
GIGYF2,0.09489583
KCNJ13,0.5765626
3110079O15RIK,0.0
NGEF,0.06885417
NEU2,0.0
INPP5D,0.020729167
ATG16L1,0.15427084
SAG,0.0
DGKD,0.050520834
GM19582,0.0
USP40,0.04104167
UGT1A10,0.0
UGT1A9,0.0
UGT1A8,0.0
UGT1A7C,0.0
UGT1A6B,0.0
UGT1A6A,0.0
UGT1A5,0.0
UGT1A2,0.0
DNAJB3,0.09
UGT1A1,0.0
MROH2A,0.0
HJURP,0.041770834
TRPM8,0.0
4930453O03RIK,0.0
SPP2,0.0
GM29538,0.0
GM28888,0.0
GLRP1,0.0
GM19589,0.0
GM29336,0.0
ARL4C,0.35625002
PLATR5,0.0
GM29337,0.0
1700067G17RIK,0.0
SH3BP4,0.29354167
GM28342,0.0
C030007H22RIK,0.0
AGAP1,0.30072916
GBX2,0.0
ASB18,0.0
IQCA,0.0
4930434B07RIK,0.0
ACKR3,0.1303125
GM28721,0.0
GM28723,0.0
GM28722,0.0334375
COPS8,0.5539583
GM9991,0.0
COL6A3,0.0
MLPH,0.1015625
PRLH,0.0
RAB17,0.16083331
GM28199,0.0
LRRFIP1,0.26125002
RBM44,0.0196875
RAMP1,0.22947913
UBE2F,0.5594792
GM26683,0.0
SCLY,0.071562506
GM17090,0.0
ESPNL,0.0
KLHL30,0.0
FAM132B,0.022395834
ILKAP,0.7560417
1700020N18RIK,0.0
HES6,2.3324997
PER2,0.048125003
GM28382,0.0
TRAF3IP1,0.0234375
ASB1,0.0
GM28380,0.0
GM29100,0.0
TWIST2,0.0
HDAC4,0.1240625
GM26720,0.0
GM29099,0.0
NDUFA10,0.9182293
OLFR1416,0.0
OLFR1415,0.0
OLFR1414,0.0
1700054K02RIK,0.0
OLFR1413,0.0
GM28479,0.0
OLFR1412,0.0
OLFR1411,0.0
OLFR1410,0.0
OLFR12,0.0
MYEOV2,1.1579169
OTOS,0.0
GM29483,0.0
GM29482,0.0
GM29481,0.0
GPC1,0.06458333
GM29480,0.0
ANKMY1,0.0
DUSP28,0.25552085
5033417F24RIK,0.021875
RNPEPL1,0.42052087
9430060I03RIK,0.0
CAPN10,0.03322917
GPR35,0.0
AQP12,0.0
KIF1A,0.33968747
GM28086,0.0
AGXT,0.0
2310007B03RIK,0.047708333
CROCC2,0.0
SNED1,0.023229167
MTERF4,0.12583333
GM28535,0.0
PASK,0.0
PPP1R7,0.32614586
ANO7,0.024166666
HDLBP,0.5986458
SEPT2,0.05604167
FARP2,0.031770833
STK25,0.7146876
GM28536,0.0
BOK,0.27416667
THAP4,0.24562502
GM10550,0.0
ATG4B,0.28833333
DTYMK,0.4533333
ING5,0.15020834
D2HGDH,0.0
GAL3ST2,0.0
GM9994,0.0
GM6086,0.0
NEU4,0.0
PDCD1,0.0
4930440C22RIK,0.0
FAM174A,1.8397918
ST8SIA4,0.037187498
4930598F16RIK,0.0
1700063A18RIK,0.0
GM29601,0.0
4930533P14RIK,0.0
SLCO4C1,0.0
PANCT2,0.0
GM28901,0.0
SLCO6C1,0.0
D1ERTD622E,0.22395836
PPIP5K2,0.05260417
GIN1,0.17802083
PAM,0.24541669
1810006J02RIK,0.0
GM29461,0.0
SLCO6D1,0.0
GM7967,0.0
CNTNAP5B,0.0
GM20268,0.0
GM28187,0.0
CDH20,0.0
GM15699,0.0
GM29012,0.0
RNF152,0.0
GM17634,0.0
PIGN,0.04625
2310035C23RIK,0.10760417
TNFRSF11A,0.02375
GM7160,0.0228125
ZCCHC2,0.0403125
GM20753,0.0
PHLPP1,0.0353125
A530053M12RIK,0.0
BCL2,0.016041666
D630008O14RIK,0.0
KDSR,0.24520832
VPS4B,0.14999999
SERPINB5,0.51281244
SERPINB12,1.1150004
SERPINB13,0.0
SERPINB3A,0.0
SERPINB3D,0.0
SERPINB3B,0.0
SERPINB3C,0.0
SERPINB11,0.095
GM15391,0.0
SERPINB7,0.0
SERPINB2,0.0
SERPINB10,0.039479166
SERPINB8,0.013750001
GM15389,0.0
D830032E09RIK,0.0
CDH7,0.0
CDH19,0.0
GM29088,0.0
DSEL,0.06791667
GM28189,0.0
9330185C12RIK,0.0
CNTNAP5A,0.020625
GM19965,0.0
RP23-113N18.1,0.0
GM28363,0.0
B020011L13RIK,0.0
GM28360,0.0
GM28168,0.0
GM7145,0.0
GM29106,0.0
TSN,0.7124999
NIFK,0.24
GM28867,0.0
CLASP1,0.027083332
RP24-183E22.2,0.030520832
TFCP2L1,0.0434375
GLI2,0.0
GM26831,0.0
GM29456,0.0
GM29455,0.0434375
INHBB,0.08041666
RALB,0.034791667
GM27184,0.0
TMEM185B,0.07895833
3830432H09RIK,0.0
EPB41L5,0.1309375
PTPN4,0.0515625
GM28209,0.0
TMEM177,0.035833333
CFAP221,0.0109375
SCTR,0.0
TMEM37,0.044166666
DBI,1.3502086
3110009E18RIK,0.0153125
STEAP3,0.0
C1QL2,0.0
1700012E03RIK,0.0
MARCO,0.0
EN1,0.0
2610027F03RIK,0.0
GM29346,0.0
GM29345,0.0
GM29348,0.0
GM29347,0.0
CELRR,0.0
GM29359,0.0
INSIG2,0.6546875
2210011K15RIK,0.0
CCDC93,0.010416667
GM15392,0.0
HTR5B,0.0
DDX18,0.25531247
GM28590,0.0
DPP10,0.0
GM28928,0.0
1700121L03RIK,0.0
ACTR3,0.8886458
GM28706,0.0
SLC35F5,0.64552087
GPR39,0.0
LYPD1,0.0
NCKAP5,0.0
4930599A14RIK,0.0
MGAT5,0.09937501
TMEM163,1.0233334
ACMSD,0.0
2900009J06RIK,0.0
CCNT2,0.42562494
MAP3K19,0.0
RAB3GAP1,0.09802083
ZRANB3,0.031770833
GM28800,0.0
R3HDM1,0.15489584
UBXN4,0.5414583
LCT,0.0
MCM6,0.0428125
DARS,0.32333332
CXCR4,0.022395834
GM26686,0.0
THSD7B,0.0
GM16081,0.0
CD55B,0.0
GM15674,0.0
GM15675,0.0196875
CD55,0.25020835
GM16083,0.0
ZP3R,0.0
C4BP,0.0
GM29427,0.0
PFKFB2,0.040520832
YOD1,0.09677083
AA986860,0.29916665
GM28857,0.0
GM28856,0.0
FCAMR,0.0
GM15848,0.023645833
PIGR,0.35999998
FCMR,0.018333333
IL24,0.0
IL20,0.0
IL19,0.0
IL10,0.0
MAPKAPK2,0.1971875
DYRK3,0.17333333
EIF2D,0.22593749
RASSF5,0.0
IKBKE,0.06333333
GM28914,0.0
GM28913,0.0
SRGAP2,0.062395837
FAM72A,0.016875
AVPR1B,0.0
CTSE,0.0
RAB7B,0.022604167
SLC26A9,0.2953125
PM20D1,0.04822917
SLC41A1,0.0290625
RAB29,0.018958334
NUCKS1,0.36739585
SLC45A3,0.14635415
ELK4,0.15510416
MFSD4,0.020104166
GM26892,0.0
CDK18,0.0178125
GM29629,0.0
LEMD1,0.09395834
1700037F24RIK,0.0109375
GM10188,0.0
GM29630,0.0
KLHDC8A,0.24666667
NUAK2,0.3521875
F730311O21RIK,0.0
TMCC2,0.031875
GM15849,0.0
DSTYK,0.104583345
RBBP5,0.0975
TMEM81,0.0
CNTN2,0.0
NFASC,0.108125
GM10538,0.0
LRRN2,0.059791666
MDM4,0.06010416
PIK3C2B,0.0
GM28609,0.0
PPP1R15B,0.20166667
PLEKHA6,0.079375
GM19461,0.0
GOLT1A,0.0
GM28040,0.0
KISS1,0.0
REN1,0.0
ETNK2,0.022708334
SOX13,0.040000003
SNRPE,0.75447935
GM26706,0.0
ZC3H11A,0.020625
GM38394,0.0
ZBED6,0.0
LAX1,0.0
ATP2B4,0.0
GM28441,0.0
OPTC,0.0
GM15851,0.0
PRELP,0.0
GM1627,0.0
FMOD,0.0
BTG2,3.2377093
CHIT1,0.0121875
CHIL1,0.055208337
MYBPH,0.0
ADORA1,0.018333333
MYOG,0.0
PPFIA4,0.0
TMEM183A,0.48843744
4933406M09RIK,0.0
CYB5R1,0.20020832
ADIPOR1,1.1089585
PLATR1,0.0
KLHL12,0.10010416
RABIF,0.10093751
MGAT4E,0.0
KDM5B,0.39374998
GM26783,0.0
SYT2,0.14593752
PPP1R12B,0.03354167
GM28892,0.0
UBE2T,0.04489583
LGR6,0.2159375
GM10535,0.0
PTPN7,0.0
ARL8A,0.68833333
GM15445,0.0
GPR37L1,0.0
GM26642,0.0
ELF3,2.6466665
RNPEP,0.8219792
TIMM17A,0.83562493
LMOD1,0.041875
SHISA4,0.33260417
IPO9,0.1196875
NAV1,0.08614584
GM4793,0.0
GM38399,0.0
CSRP1,2.236771
PHLDA3,0.46593753
TNNI1,0.005625
LAD1,0.15697916
TNNT2,0.005625
PKP1,0.17333333
IGFN1,0.018333333
TMEM9,0.67625004
ASCL5,0.0
CACNA1S,0.0
GM37759,0.0
KIF21B,0.0
MROH3,0.0
5730559C18RIK,0.07489584
GM26568,0.0
A430034D21RIK,0.0
GM37552,0.0
GM26781,0.0
GPR25,0.0
CAMSAP2,0.16010416
DDX59,0.0
KIF14,0.0
GM37799,0.0
GM33994,0.0
4933409D19RIK,0.0
PLATR23,0.0
ZFP281,0.20614582
GM19705,0.0
PLATR22,0.0
NR5A2,0.0
GM26979,0.0
GM26936,0.0
A430106G13RIK,0.0
PTPRC,0.036354166
GM28556,0.0
ATP6V1G3,0.0
NEK7,0.35010412
GM28501,0.0
GM5833,0.0
LHX9,0.0
2310009B15RIK,0.34218752
1700019P21RIK,0.0
DENND1B,0.047083333
CRB1,0.020625
4933436E23RIK,0.0
GM34816,0.0
ZBTB41,0.041666668
ASPM,0.0
F13B,0.0
CFHR1,0.0
GM4788,0.0
CFHR2,0.0
CFH,0.0071875
KCNT2,0.0
4930590L20RIK,0.0
CDC73,0.16447917
B3GALT2,0.11864584
GLRX2,0.58718747
TROVE2,0.31395832
UCHL5,0.37
RGS2,0.7436459
RGS13,0.0
RGS1,0.025520831
RGS21,0.0
RGS18,0.0
GM29514,0.0
BRINP3,0.0
GM15584,0.0
GM29515,0.0
GM29020,0.0
GM29398,0.0
PLA2G4A,0.020520834
PTGS2,0.051041666
PTGS2OS2,0.0
PDC,0.0
2310030A07RIK,0.0
BC003331,0.10989583
TPR,0.30020833
PRG4,0.0
HMCN1,0.0
GM20631,0.0
GM29188,0.0
C730036E19RIK,0.0
GM10138,0.075208336
IVNS1ABP,0.35218748
SWT1,0.20031251
TRMT1L,0.113125004
RNF2,0.26614583
GM28181,0.0
FAM129A,0.06302083
2810414N06RIK,0.0
EDEM3,0.057187498
1700025G04RIK,0.20614584
GM28610,0.0
TSEN15,0.21802084
COLGALT2,0.0
RGL1,0.02
APOBEC4,0.0
ARPC5,1.5967709
NCF2,0.022708334
SMG7,0.09010416
NMNAT2,0.0
GM28960,0.0
LAMC2,0.15989584
LAMC1,0.07958334
SHCBP1L,0.0
DHX9,0.144375
NPL,0.0
RGS8,0.0
GM29529,0.0
C230024C17RIK,0.0
RGS16,0.0
GM28513,0.0
RNASEL,0.013750001
RGSL1,0.0
TEDDM2,0.0
TEDDM1B,0.0
TEDDM1A,0.0
GLUL,1.3028127
GM29290,0.036979165
GM29291,0.0
GM28286,0.0
A830008E24RIK,0.0
ZFP648,0.0
4930452N14RIK,0.0
4930532M18RIK,0.0
CACNA1E,0.0
GM29282,0.0
GM9530,0.0
IER5,1.1835418
MR1,0.10979167
STX6,0.4608333
BC034090,0.0
GM37622,0.0
XPR1,0.12062499
GM5532,0.0
ACBD6,0.6858334
LHX4,0.0
QSOX1,1.4613541
GM37571,0.0
CEP350,0.034375
TOR1AIP1,0.26729167
TOR1AIP2,0.5109375
FAM163A,0.0
TDRD5,0.0
4930518J20RIK,0.0
NPHS2,0.0
AXDND1,0.0
GM2000,0.016875
SOAT1,0.135
GM10031,0.0
ABL2,0.0603125
TOR3A,0.3821875
FAM20B,0.26614583
RALGPS2,0.017395834
ANGPTL1,0.0
4930439D14RIK,0.0
GM28694,0.0
TEX35,0.0
RASAL2,0.0209375
BC026585,0.16916667
GM15486,0.0
SEC16B,0.0
BRINP2,0.0
ASTN1,0.0
GM37679,0.0
PAPPA2,0.0
1600012P17RIK,0.0
4930562F17RIK,0.0
RFWD2,0.26541668
TNR,0.0
GM38039,0.0
GM37294,0.0
4930523C07RIK,0.353125
4930562F07RIK,0.006458333
TNN,0.0
MRPS14,1.0727084
CACYBP,1.073646
RABGAP1L,0.19156249
GM36975,0.0
GM37083,0.0
GM38060,0.0
RC3H1,0.12364584
SERPINC1,0.0
ZBTB37,0.080416664
GM37362,0.0209375
DARS2,0.0359375
GM37634,0.0
CENPL,0.0
KLHL20,0.0
ANKRD45,0.0
4930469G21RIK,0.0
PRDX6,3.46698
TNFSF4,0.0
TNFSF18,0.0
FASL,0.0
SUCO,0.20864584
GM31925,0.0
4930558K02RIK,0.0
PIGC,0.10729167
GM38304,0.0
DNM3,0.031041667
2810442N19RIK,0.0
DNM3OS,0.0
METTL13,0.0690625
VAMP4,0.23020834
MYOC,0.0
7420461P10RIK,0.0
PRRC2C,0.24968751
FMO4,0.017604167
FMO1,0.05239583
FMO2,0.32520834
FMO6,0.3261458
FMO3,0.5826041
GM37273,0.0
MROH9,0.0
PRRX1,0.0
GM20471,0.0
GM26523,0.0
GORAB,0.0
GM29500,0.0
METTL11B,0.0
KIFAP3,0.28062502
SCYL3,0.030416667
BC055324,0.0
METTL18,0.026770832
SELE,0.0
SELL,0.0
SELP,0.0
