Feature Name,1,2,3,4,5
GO ACTIVATION OF TRANSMEMBRANE RECEPTOR PROTEIN TYROSINE KINASE ACTIVITY,0,0,0,0,0
GO ACTIVIN RECEPTOR SIGNALING PATHWAY,0,0,0,0,0
GO ACTOMYOSIN STRUCTURE ORGANIZATION,0,0,0,0,0
GO ACUTE INFLAMMATORY RESPONSE,1,0,0,0,0
GO ACUTE INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS,1,0,0,0,0
GO ACUTE PHASE RESPONSE,1,0,0,0,0
GO ACYLGLYCEROL HOMEOSTASIS,0,0,0,0,0
GO ADAPTATION OF SIGNALING PATHWAY,0,0,1,0,0
GO ADAPTIVE IMMUNE RESPONSE,1,0,0,0,0
GO ADAPTIVE IMMUNE RESPONSE BASED ON SOMATIC RECOMBINATION OF IMMUNE RECEPTORS BUILT FROM IMMUNOGLOBULIN SUPERFAMILY DOMAINS,1,0,0,0,0
GO ADAPTIVE THERMOGENESIS,0,0,0,1,0
GO ADENOHYPOPHYSIS DEVELOPMENT,0,0,0,0,0
GO ADENYLATE CYCLASE ACTIVATING G PROTEIN COUPLED RECEPTOR SIGNALING PATHWAY,0,0,0,0,0
GO ADENYLATE CYCLASE INHIBITING G PROTEIN COUPLED RECEPTOR SIGNALING PATHWAY,0,0,0,0,0
GO ADHERENS JUNCTION ASSEMBLY,0,0,0,0,0
GO ADHERENS JUNCTION ORGANIZATION,0,0,0,0,0
GO ADHESION OF SYMBIONT TO HOST,0,0,0,0,0
GO ADIPOSE TISSUE DEVELOPMENT,0,0,0,0,0
GO ADRENAL GLAND DEVELOPMENT,0,0,0,1,0
GO ADRENERGIC RECEPTOR SIGNALING PATHWAY,0,0,0,0,0
GO ADULT BEHAVIOR,0,0,0,0,0
GO ADULT FEEDING BEHAVIOR,0,0,0,0,0
GO ADULT HEART DEVELOPMENT,0,0,0,0,0
GO ADULT LOCOMOTORY BEHAVIOR,0,0,0,1,0
GO AEROBIC ELECTRON TRANSPORT CHAIN,0,1,1,0,0
GO AEROBIC RESPIRATION,0,0,1,0,0
GO AGING,1,0,0,0,0
GO ALANINE TRANSPORT,0,0,1,0,0
GO ALCOHOL BIOSYNTHETIC PROCESS,0,1,0,0,0
GO ALCOHOL CATABOLIC PROCESS,0,0,0,0,0
GO ALCOHOL METABOLIC PROCESS,0,1,0,1,0
GO ALDEHYDE BIOSYNTHETIC PROCESS,0,0,0,0,0
GO ALDEHYDE CATABOLIC PROCESS,0,0,0,0,0
GO ALDITOL METABOLIC PROCESS,1,1,0,0,0
GO ALDITOL PHOSPHATE METABOLIC PROCESS,0,0,0,0,0
GO ALPHA AMINO ACID BIOSYNTHETIC PROCESS,0,0,0,0,0
GO ALPHA AMINO ACID CATABOLIC PROCESS,0,1,0,0,0
GO ALPHA AMINO ACID METABOLIC PROCESS,0,1,0,0,0
GO ALPHA BETA T CELL ACTIVATION,1,0,0,0,0
GO ALPHA BETA T CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE,1,0,0,0,0
GO ALPHA BETA T CELL DIFFERENTIATION,1,0,0,0,0
GO ALPHA BETA T CELL PROLIFERATION,1,0,0,0,0
GO ALPHA LINOLENIC ACID METABOLIC PROCESS,0,0,0,0,0
GO ALTERNATIVE MRNA SPLICING VIA SPLICEOSOME,0,0,0,0,1
GO AMEBOIDAL TYPE CELL MIGRATION,0,0,0,0,0
GO AMELOGENESIS,0,0,0,0,0
GO AMIDE BIOSYNTHETIC PROCESS,1,0,0,0,0
GO AMINE BIOSYNTHETIC PROCESS,0,0,0,1,0
GO AMINE CATABOLIC PROCESS,0,0,0,0,0
GO AMINE METABOLIC PROCESS,0,0,0,1,0
GO AMINE TRANSPORT,0,0,0,0,0
GO AMINO ACID ACTIVATION,0,0,0,0,0
GO AMINO ACID BETAINE METABOLIC PROCESS,0,0,0,0,0
GO AMINO ACID IMPORT,0,0,0,0,0
GO AMINO ACID TRANSMEMBRANE TRANSPORT,0,0,0,0,0
GO AMINO ACID TRANSPORT,0,0,0,0,0
GO AMINO SUGAR BIOSYNTHETIC PROCESS,1,0,0,0,0
GO AMINO SUGAR CATABOLIC PROCESS,0,0,0,1,0
GO AMINO SUGAR METABOLIC PROCESS,0,0,0,0,0
GO AMINOGLYCAN BIOSYNTHETIC PROCESS,0,0,0,0,0
GO AMINOGLYCAN CATABOLIC PROCESS,0,0,0,0,0
GO AMINOGLYCAN METABOLIC PROCESS,0,0,0,0,0
GO AMMONIUM ION METABOLIC PROCESS,0,0,0,1,0
GO AMMONIUM TRANSPORT,0,0,0,0,0
GO AMP METABOLIC PROCESS,0,1,0,0,0
GO AMYLOID BETA CLEARANCE,1,0,0,0,0
GO AMYLOID BETA FORMATION,0,0,0,1,0
GO AMYLOID BETA METABOLIC PROCESS,0,0,0,1,0
GO AMYLOID FIBRIL FORMATION,0,0,0,0,0
GO AMYLOID PRECURSOR PROTEIN BIOSYNTHETIC PROCESS,0,0,0,0,0
GO AMYLOID PRECURSOR PROTEIN CATABOLIC PROCESS,0,0,0,1,0
GO AMYLOID PRECURSOR PROTEIN METABOLIC PROCESS,0,0,0,0,0
GO ANAPHASE PROMOTING COMPLEX DEPENDENT CATABOLIC PROCESS,1,1,0,0,0
GO ANATOMICAL STRUCTURE ARRANGEMENT,0,0,0,0,0
GO ANATOMICAL STRUCTURE FORMATION INVOLVED IN MORPHOGENESIS,0,0,0,0,0
GO ANATOMICAL STRUCTURE HOMEOSTASIS,0,0,0,0,0
GO ANATOMICAL STRUCTURE MATURATION,0,0,0,1,0
GO ANATOMICAL STRUCTURE REGRESSION,0,0,0,0,0
GO ANDROGEN METABOLIC PROCESS,0,0,0,0,0
GO ANDROGEN RECEPTOR SIGNALING PATHWAY,0,0,0,0,0
GO ANGIOGENESIS INVOLVED IN WOUND HEALING,0,0,0,1,0
GO ANGIOTENSIN ACTIVATED SIGNALING PATHWAY,1,0,0,0,0
GO ANIMAL ORGAN FORMATION,0,0,0,0,0
GO ANIMAL ORGAN MATURATION,0,0,0,0,0
GO ANIMAL ORGAN MORPHOGENESIS,0,0,0,0,0
GO ANIMAL ORGAN REGENERATION,1,0,0,0,0
GO ANION HOMEOSTASIS,0,0,0,0,0
GO ANION TRANSMEMBRANE TRANSPORT,0,0,0,1,0
GO ANION TRANSPORT,0,0,0,1,0
GO ANOIKIS,0,0,0,1,0
GO ANTERIOR POSTERIOR AXIS SPECIFICATION,0,0,0,1,0
GO ANTERIOR POSTERIOR PATTERN SPECIFICATION,0,0,0,0,0
GO ANTEROGRADE AXONAL TRANSPORT,0,0,0,0,0
GO ANTIBACTERIAL HUMORAL RESPONSE,0,0,0,1,0
GO ANTIGEN PROCESSING AND PRESENTATION,1,0,0,0,0
GO ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS ANTIGEN,1,0,0,0,0
GO ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN,1,0,0,0,0
GO ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I,1,1,0,0,0
GO ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN,1,1,0,0,0
GO ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN VIA MHC CLASS I,1,1,0,0,0
GO ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE OR POLYSACCHARIDE ANTIGEN VIA MHC CLASS II,0,0,0,0,0
GO ANTIGEN PROCESSING AND PRESENTATION VIA MHC CLASS IB,1,0,0,0,0
GO ANTIGEN RECEPTOR MEDIATED SIGNALING PATHWAY,1,1,0,0,0
GO ANTIMICROBIAL HUMORAL IMMUNE RESPONSE MEDIATED BY ANTIMICROBIAL PEPTIDE,0,0,0,0,0
GO ANTIMICROBIAL HUMORAL RESPONSE,0,0,0,1,0
GO AORTA DEVELOPMENT,0,0,0,0,0
GO AORTA MORPHOGENESIS,0,0,0,0,0
GO AORTIC VALVE DEVELOPMENT,0,0,0,0,0
GO APICAL JUNCTION ASSEMBLY,0,0,0,1,0
GO APICAL PROTEIN LOCALIZATION,0,0,0,0,0
GO APOPTOTIC CELL CLEARANCE,1,0,0,0,0
GO APOPTOTIC DNA FRAGMENTATION,0,0,0,0,0
GO APOPTOTIC MITOCHONDRIAL CHANGES,0,0,0,0,0
GO APOPTOTIC PROCESS,0,0,0,0,0
GO APOPTOTIC PROCESS INVOLVED IN DEVELOPMENT,0,0,0,0,0
GO APOPTOTIC PROCESS INVOLVED IN MORPHOGENESIS,0,1,0,0,0
GO APOPTOTIC SIGNALING PATHWAY,1,0,0,0,0
GO APPENDAGE DEVELOPMENT,0,0,0,0,0
GO APPENDAGE MORPHOGENESIS,0,0,0,0,0
GO ARACHIDONIC ACID METABOLIC PROCESS,0,1,0,1,0
GO ARACHIDONIC ACID SECRETION,0,1,0,0,0
GO ARF PROTEIN SIGNAL TRANSDUCTION,0,0,0,0,0
GO ARGININE METABOLIC PROCESS,1,0,0,0,0
GO AROMATIC AMINO ACID FAMILY CATABOLIC PROCESS,0,0,0,0,0
GO AROMATIC AMINO ACID FAMILY METABOLIC PROCESS,0,0,0,0,0
GO AROMATIC AMINO ACID TRANSPORT,0,0,1,0,0
GO ARP2 3 COMPLEX MEDIATED ACTIN NUCLEATION,0,0,0,0,0
GO ARTERY DEVELOPMENT,0,0,0,0,0
GO ARTERY MORPHOGENESIS,0,0,0,0,0
GO ASPARTATE FAMILY AMINO ACID BIOSYNTHETIC PROCESS,0,0,0,0,0
GO ASPARTATE FAMILY AMINO ACID CATABOLIC PROCESS,0,0,0,0,0
GO ASPARTATE FAMILY AMINO ACID METABOLIC PROCESS,0,0,0,0,0
GO ASSOCIATIVE LEARNING,0,0,1,0,0
GO ASTRAL MICROTUBULE ORGANIZATION,0,0,0,0,0
GO ASTROCYTE ACTIVATION,1,0,0,0,0
GO ASTROCYTE DEVELOPMENT,1,0,0,0,0
GO ASTROCYTE DIFFERENTIATION,0,0,0,0,0
GO ASYMMETRIC CELL DIVISION,0,0,0,0,0
GO ATF6 MEDIATED UNFOLDED PROTEIN RESPONSE,1,0,0,0,0
GO ATP BIOSYNTHETIC PROCESS,1,0,0,0,0
GO ATP DEPENDENT CHROMATIN REMODELING,0,0,0,0,0
GO ATP METABOLIC PROCESS,0,0,0,0,0
GO ATP SYNTHESIS COUPLED ELECTRON TRANSPORT,0,1,0,0,0
GO ATP TRANSPORT,0,0,0,0,0
GO ATRIAL CARDIAC MUSCLE CELL TO AV NODE CELL SIGNALING,0,0,0,0,0
GO ATRIAL SEPTUM DEVELOPMENT,0,0,0,0,0
GO ATRIAL SEPTUM MORPHOGENESIS,0,0,0,0,0
GO ATRIOVENTRICULAR VALVE DEVELOPMENT,0,0,0,0,0
GO ATTACHMENT OF MITOTIC SPINDLE MICROTUBULES TO KINETOCHORE,0,0,0,0,0
GO ATTACHMENT OF SPINDLE MICROTUBULES TO KINETOCHORE,0,0,0,0,0
GO AUDITORY RECEPTOR CELL DEVELOPMENT,0,0,0,0,0
GO AUDITORY RECEPTOR CELL MORPHOGENESIS,0,0,0,0,0
GO AUTONOMIC NERVOUS SYSTEM DEVELOPMENT,0,0,0,0,0
GO AUTOPHAGIC CELL DEATH,0,0,0,0,0
GO AUTOPHAGOSOME MATURATION,1,0,0,0,0
GO AUTOPHAGOSOME ORGANIZATION,1,0,0,0,0
GO AUTOPHAGY OF MITOCHONDRION,0,0,0,0,0
GO AUTOPHAGY OF NUCLEUS,0,0,0,0,0
GO AV NODE CELL TO BUNDLE OF HIS CELL COMMUNICATION,0,0,0,0,0
GO AXIS ELONGATION,0,0,0,0,0
GO AXIS SPECIFICATION,0,0,0,0,0
GO AXO DENDRITIC PROTEIN TRANSPORT,0,0,0,0,0
GO AXO DENDRITIC TRANSPORT,0,0,0,0,0
GO AXON DEVELOPMENT,0,0,0,0,0
GO AXON ENSHEATHMENT IN CENTRAL NERVOUS SYSTEM,0,0,0,0,0
GO AXON EXTENSION,0,0,0,0,0
GO AXONAL FASCICULATION,0,0,0,0,0
GO AXONAL TRANSPORT,0,0,0,0,0
GO AXONAL TRANSPORT OF MITOCHONDRION,0,0,0,0,0
GO AXONEMAL DYNEIN COMPLEX ASSEMBLY,0,0,0,0,0
GO AXONEME ASSEMBLY,0,0,0,0,0
GO B CELL ACTIVATION,1,0,0,1,0
GO B CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE,1,0,0,0,0
GO B CELL APOPTOTIC PROCESS,0,0,0,1,0
GO B CELL DIFFERENTIATION,0,0,0,1,0
GO B CELL HOMEOSTASIS,0,1,0,0,0
GO B CELL MEDIATED IMMUNITY,1,0,0,0,0
GO B CELL PROLIFERATION,0,0,0,1,0
GO B CELL RECEPTOR SIGNALING PATHWAY,0,1,0,1,0
GO BARBED END ACTIN FILAMENT CAPPING,0,1,0,0,0
GO BASE CONVERSION OR SUBSTITUTION EDITING,1,0,0,0,0
GO BASE EXCISION REPAIR,0,1,0,0,0
GO BASE EXCISION REPAIR AP SITE FORMATION,0,1,0,0,0
GO BASEMENT MEMBRANE ASSEMBLY,0,0,0,0,0
GO BASEMENT MEMBRANE ORGANIZATION,1,0,0,0,0
GO BASIC AMINO ACID TRANSMEMBRANE TRANSPORT,0,0,0,0,0
GO BASIC AMINO ACID TRANSPORT,0,0,0,0,0
GO BEHAVIOR,0,0,0,0,0
GO BEHAVIORAL RESPONSE TO COCAINE,0,0,0,0,0
GO BEHAVIORAL RESPONSE TO PAIN,0,0,0,0,0
GO BENZENE CONTAINING COMPOUND METABOLIC PROCESS,0,1,0,0,0
GO BETA CATENIN DESTRUCTION COMPLEX DISASSEMBLY,1,0,0,0,0
GO BETA CATENIN TCF COMPLEX ASSEMBLY,0,0,0,0,0
GO BICARBONATE TRANSPORT,0,0,0,0,0
GO BILE ACID AND BILE SALT TRANSPORT,0,0,0,0,0
GO BILE ACID BIOSYNTHETIC PROCESS,0,0,0,0,0
GO BILE ACID METABOLIC PROCESS,0,0,0,0,0
GO BINDING OF SPERM TO ZONA PELLUCIDA,1,0,0,0,0
GO BIOLOGICAL ADHESION,0,0,0,0,0
GO BIOLOGICAL PHASE,0,0,0,0,0
GO BIOMINERALIZATION,0,0,0,1,0
GO BLASTOCYST DEVELOPMENT,0,0,0,0,0
GO BLASTOCYST FORMATION,0,1,0,0,0
GO BLASTOCYST GROWTH,0,0,0,0,0
GO BLASTODERM SEGMENTATION,0,0,0,0,0
GO BLEB ASSEMBLY,1,0,0,0,0
GO BLOOD COAGULATION INTRINSIC PATHWAY,1,0,0,0,0
GO BLOOD VESSEL ENDOTHELIAL CELL MIGRATION,1,0,0,0,0
GO BLOOD VESSEL ENDOTHELIAL CELL PROLIFERATION INVOLVED IN SPROUTING ANGIOGENESIS,1,0,0,0,0
GO BLOOD VESSEL MORPHOGENESIS,0,0,0,0,0
GO BLOOD VESSEL REMODELING,1,0,0,0,0
GO BODY FLUID SECRETION,1,0,0,0,0
GO BODY MORPHOGENESIS,0,0,0,0,0
GO BONE CELL DEVELOPMENT,0,0,0,0,0
GO BONE DEVELOPMENT,0,0,0,0,0
GO BONE GROWTH,0,0,0,0,0
GO BONE MATURATION,0,0,0,0,0
GO BONE MINERALIZATION,0,0,0,0,0
GO BONE MORPHOGENESIS,0,0,0,0,0
GO BONE REMODELING,0,0,0,1,0
GO BONE RESORPTION,0,0,0,1,0
GO BONE TRABECULA FORMATION,0,0,0,0,0
GO BONE TRABECULA MORPHOGENESIS,0,0,0,0,0
GO BRAIN MORPHOGENESIS,0,0,0,0,0
GO BRANCH ELONGATION OF AN EPITHELIUM,0,0,0,0,0
GO BRANCHED CHAIN AMINO ACID METABOLIC PROCESS,0,1,0,0,0
GO BRANCHED CHAIN AMINO ACID TRANSPORT,0,0,0,0,0
GO BRANCHING INVOLVED IN BLOOD VESSEL MORPHOGENESIS,1,0,0,0,0
GO BRANCHING INVOLVED IN LABYRINTHINE LAYER MORPHOGENESIS,0,1,0,1,0
GO BRANCHING INVOLVED IN MAMMARY GLAND DUCT MORPHOGENESIS,0,0,0,0,0
GO BRANCHING INVOLVED IN PROSTATE GLAND MORPHOGENESIS,0,0,0,0,0
GO BRANCHING INVOLVED IN SALIVARY GLAND MORPHOGENESIS,1,0,0,0,0
GO BRANCHING MORPHOGENESIS OF A NERVE,0,0,0,0,0
GO BRANCHING MORPHOGENESIS OF AN EPITHELIAL TUBE,0,0,0,0,0
GO BRONCHUS DEVELOPMENT,0,0,0,0,0
GO BROWN FAT CELL DIFFERENTIATION,0,0,0,1,0
GO BUNDLE OF HIS CELL TO PURKINJE MYOCYTE COMMUNICATION,0,0,0,0,0
GO C TERMINAL PROTEIN AMINO ACID MODIFICATION,0,0,0,0,0
GO C21 STEROID HORMONE BIOSYNTHETIC PROCESS,1,0,0,0,0
GO C21 STEROID HORMONE METABOLIC PROCESS,1,0,0,0,0
GO C4 DICARBOXYLATE TRANSPORT,0,0,0,0,0
GO CALCINEURIN MEDIATED SIGNALING,0,0,0,0,0
GO CALCIUM DEPENDENT CELL CELL ADHESION VIA PLASMA MEMBRANE CELL ADHESION MOLECULES,0,0,0,0,0
GO CALCIUM IMPORT INTO THE MITOCHONDRION,0,0,0,0,0
GO CALCIUM INDEPENDENT CELL CELL ADHESION VIA PLASMA MEMBRANE CELL ADHESION MOLECULES,0,0,0,1,0
GO CALCIUM ION IMPORT,0,0,0,0,0
GO CALCIUM ION IMPORT INTO CYTOSOL,0,0,0,0,0
GO CALCIUM ION REGULATED EXOCYTOSIS,0,0,0,1,0
GO CALCIUM ION REGULATED EXOCYTOSIS OF NEUROTRANSMITTER,0,0,0,1,0
GO CALCIUM ION TRANSMEMBRANE IMPORT INTO CYTOSOL,0,0,0,0,0
GO CALCIUM ION TRANSMEMBRANE TRANSPORT,0,0,0,0,0
GO CALCIUM ION TRANSMEMBRANE TRANSPORT VIA HIGH VOLTAGE GATED CALCIUM CHANNEL,0,0,0,0,0
GO CALCIUM MEDIATED SIGNALING,0,0,0,1,0
GO CALCIUM MEDIATED SIGNALING USING INTRACELLULAR CALCIUM SOURCE,0,0,0,0,0
GO CAMERA TYPE EYE DEVELOPMENT,0,0,0,0,0
GO CAMERA TYPE EYE MORPHOGENESIS,0,0,0,0,0
GO CAMERA TYPE EYE PHOTORECEPTOR CELL DIFFERENTIATION,0,0,0,0,0
GO CAMP BIOSYNTHETIC PROCESS,0,0,0,0,0
GO CAMP METABOLIC PROCESS,1,0,0,0,0
GO CANONICAL WNT SIGNALING PATHWAY,0,0,0,0,0
GO CARBOHYDRATE BIOSYNTHETIC PROCESS,0,0,0,1,0
GO CARBOHYDRATE CATABOLIC PROCESS,0,0,0,0,0
GO CARBOHYDRATE DERIVATIVE BIOSYNTHETIC PROCESS,0,0,0,1,0
GO CARBOHYDRATE DERIVATIVE CATABOLIC PROCESS,1,0,0,0,0
GO CARBOHYDRATE DERIVATIVE METABOLIC PROCESS,0,0,0,0,0
GO CARBOHYDRATE DERIVATIVE TRANSPORT,0,0,0,1,0
GO CARBOHYDRATE HOMEOSTASIS,0,0,0,1,0
GO CARBOHYDRATE METABOLIC PROCESS,0,0,0,0,0
GO CARBOHYDRATE PHOSPHORYLATION,0,0,0,0,0
GO CARBOHYDRATE TRANSMEMBRANE TRANSPORT,0,0,0,0,0
GO CARBOHYDRATE TRANSPORT,0,0,0,1,0
GO CARDIAC ATRIUM DEVELOPMENT,0,0,0,0,0
GO CARDIAC ATRIUM MORPHOGENESIS,0,0,0,0,0
GO CARDIAC CELL DEVELOPMENT,0,0,0,1,0
GO CARDIAC CELL FATE COMMITMENT,0,0,0,0,1
GO CARDIAC CHAMBER DEVELOPMENT,0,0,0,0,0
GO CARDIAC CHAMBER FORMATION,0,0,0,0,0
GO CARDIAC CHAMBER MORPHOGENESIS,0,0,0,0,0
GO CARDIAC CONDUCTION,0,0,0,0,0
GO CARDIAC CONDUCTION SYSTEM DEVELOPMENT,0,0,0,0,0
GO CARDIAC EPITHELIAL TO MESENCHYMAL TRANSITION,0,0,0,0,0
GO CARDIAC LEFT VENTRICLE MORPHOGENESIS,0,0,0,1,0
GO CARDIAC MUSCLE CELL ACTION POTENTIAL,0,0,0,0,0
GO CARDIAC MUSCLE CELL ACTION POTENTIAL INVOLVED IN CONTRACTION,0,0,0,0,0
GO CARDIAC MUSCLE CELL CONTRACTION,0,0,0,0,0
GO CARDIAC MUSCLE CELL DIFFERENTIATION,0,0,0,0,0
GO CARDIAC MUSCLE CELL MEMBRANE REPOLARIZATION,0,0,0,0,0
GO CARDIAC MUSCLE CELL MYOBLAST DIFFERENTIATION,0,0,0,0,0
GO CARDIAC MUSCLE CELL PROLIFERATION,0,0,0,0,0
GO CARDIAC MUSCLE CONTRACTION,0,0,0,0,0
GO CARDIAC MUSCLE FIBER DEVELOPMENT,0,0,0,0,0
GO CARDIAC MUSCLE TISSUE DEVELOPMENT,0,0,0,0,0
GO CARDIAC MUSCLE TISSUE MORPHOGENESIS,0,0,0,0,0
GO CARDIAC MYOFIBRIL ASSEMBLY,0,0,0,0,0
GO CARDIAC NEURAL CREST CELL DIFFERENTIATION INVOLVED IN HEART DEVELOPMENT,0,0,0,0,0
GO CARDIAC RIGHT VENTRICLE MORPHOGENESIS,0,0,0,0,0
GO CARDIAC SEPTUM DEVELOPMENT,0,0,0,0,0
GO CARDIAC SEPTUM MORPHOGENESIS,0,0,0,0,0
GO CARDIAC VENTRICLE DEVELOPMENT,0,0,0,0,0
GO CARDIAC VENTRICLE FORMATION,0,0,0,0,0
GO CARDIAC VENTRICLE MORPHOGENESIS,0,0,0,0,0
GO CARDIOBLAST DIFFERENTIATION,0,0,0,0,0
GO CARDIOBLAST PROLIFERATION,0,0,0,0,0
GO CARDIOCYTE DIFFERENTIATION,0,0,0,0,0
GO CARDIOLIPIN METABOLIC PROCESS,0,1,0,0,0
GO CARNITINE METABOLIC PROCESS,0,0,0,0,0
GO CARNITINE SHUTTLE,0,1,0,0,0
GO CARTILAGE DEVELOPMENT,0,0,0,0,0
GO CARTILAGE DEVELOPMENT INVOLVED IN ENDOCHONDRAL BONE MORPHOGENESIS,0,0,0,0,0
GO CARTILAGE MORPHOGENESIS,0,0,0,0,0
GO CATECHOLAMINE BIOSYNTHETIC PROCESS,0,0,0,0,0
GO CATECHOLAMINE METABOLIC PROCESS,0,0,0,0,0
GO CATECHOLAMINE SECRETION,0,0,0,0,0
GO CATECHOLAMINE UPTAKE,0,0,0,0,0
GO CATECHOLAMINE UPTAKE INVOLVED IN SYNAPTIC TRANSMISSION,0,0,0,0,0
GO CATION TRANSMEMBRANE TRANSPORT,0,0,0,0,0
GO CATION TRANSPORT,0,0,0,0,0
GO CAVEOLIN MEDIATED ENDOCYTOSIS,1,1,0,0,0
GO CD4 POSITIVE ALPHA BETA T CELL ACTIVATION,0,0,0,0,0
GO CD4 POSITIVE ALPHA BETA T CELL CYTOKINE PRODUCTION,1,0,0,0,0
GO CD4 POSITIVE ALPHA BETA T CELL DIFFERENTIATION,0,0,0,0,0
GO CD4 POSITIVE ALPHA BETA T CELL PROLIFERATION,0,0,0,0,0
GO CD4 POSITIVE OR CD8 POSITIVE ALPHA BETA T CELL LINEAGE COMMITMENT,0,0,0,0,0
GO CD40 SIGNALING PATHWAY,1,0,0,0,0
GO CD8 POSITIVE ALPHA BETA T CELL ACTIVATION,0,0,0,1,0
GO CD8 POSITIVE ALPHA BETA T CELL DIFFERENTIATION,0,0,0,1,0
GO CDC42 PROTEIN SIGNAL TRANSDUCTION,0,0,0,0,0
GO CDP DIACYLGLYCEROL METABOLIC PROCESS,0,0,0,0,0
GO CELL ACTIVATION,1,0,0,0,0
GO CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE,1,0,0,0,0
GO CELL ADHESION MEDIATED BY INTEGRIN,1,0,0,0,0
GO CELL AGGREGATION,0,0,0,0,0
GO CELL AGING,1,0,0,0,0
GO CELL CELL ADHESION,0,0,0,1,0
GO CELL CELL ADHESION INVOLVED IN GASTRULATION,0,1,0,0,0
GO CELL CELL ADHESION MEDIATED BY CADHERIN,0,0,0,1,0
GO CELL CELL ADHESION MEDIATED BY INTEGRIN,1,0,0,0,0
GO CELL CELL ADHESION VIA PLASMA MEMBRANE ADHESION MOLECULES,0,0,0,1,0
GO CELL CELL JUNCTION ASSEMBLY,0,0,0,1,0
GO CELL CELL JUNCTION MAINTENANCE,0,0,0,0,0
GO CELL CELL JUNCTION ORGANIZATION,0,0,0,1,0
GO CELL CELL RECOGNITION,1,0,0,0,0
GO CELL CELL SIGNALING,0,0,0,0,0
