archetype #,Feature Name,P value (Mann-Whitney),Median Difference,Mean Difference,Significant after Benjamini-Hochberg correction?,Is first bin maximal?
SCLC-A,GO PROTEIN ACETYLATION,0.00031055,0.10113,0.11483,1,1
SCLC-A,GO CELL CYCLE CHECKPOINT,0.013344,0.079864,0.079046,1,1
SCLC-A,GO DNA INTEGRITY CHECKPOINT,0.01857,0.090649,0.078575,1,1
SCLC-A,GO MITOTIC DNA INTEGRITY CHECKPOINT,0.027136,0.092546,0.07628,1,1
SCLC-A,GO CHROMATIN ORGANIZATION,0.0085133,0.08739,0.076208,1,1
SCLC-A,GO PEPTIDYL LYSINE MODIFICATION,0.0068665,0.092637,0.072649,1,1
SCLC-A,GO COVALENT CHROMATIN MODIFICATION,0.0088198,0.078068,0.072417,1,1
SCLC-A2,GO REGULATION OF DENDRITIC CELL DIFFERENTIATION,0.0015095,1.2651,1.1755,1,1
SCLC-A2,GO SEROTONIN METABOLIC PROCESS,5.93E-05,0.68329,0.8364,1,1
SCLC-A2,GO LIPID DROPLET FORMATION,0.00014528,0.7548,0.80322,1,1
SCLC-A2,GO NEGATIVE REGULATION OF ANOIKIS,0.00090875,0.69263,0.77693,1,1
SCLC-A2,GO HISTAMINE SECRETION,0.00027004,0.68356,0.74019,1,1
SCLC-A2,GO HISTAMINE TRANSPORT,0.00024585,0.62554,0.73044,1,1
SCLC-A2,GO PRIMARY AMINO COMPOUND METABOLIC PROCESS,9.81E-05,0.65865,0.71551,1,1
SCLC-A2,GO BRANCHING INVOLVED IN LABYRINTHINE LAYER MORPHOGENESIS,0.0025586,0.65828,0.68547,1,1
SCLC-A2,GO ACTIVATION OF CYSTEINE TYPE ENDOPEPTIDASE ACTIVITY,0.00094871,0.71616,0.6793,1,1
SCLC-A2,GO SIGNALING RECEPTOR LIGAND PRECURSOR PROCESSING,0.00037344,0.66854,0.67785,1,1
SCLC-A2,GO CD8 POSITIVE ALPHA BETA T CELL DIFFERENTIATION,0.00016797,0.5965,0.66058,1,1
SCLC-A2,GO RESPONSE TO COPPER ION,0.0010336,0.66978,0.65659,1,1
SCLC-A2,GO DETECTION OF OTHER ORGANISM,0.00040918,0.68042,0.64054,1,1
SCLC-A2,GO CELL MIGRATION INVOLVED IN GASTRULATION,0.00042822,0.67596,0.62187,1,1
SCLC-A2,GO RESPONSE TO IMMOBILIZATION STRESS,0.0002237,0.63649,0.61107,1,1
SCLC-A2,GO POSITIVE REGULATION OF STRIATED MUSCLE CONTRACTION,0.0018542,0.59685,0.60466,1,1
SCLC-A2,GO TOLERANCE INDUCTION,0.0057193,0.65655,0.60386,1,1
SCLC-A2,GO CYTIDINE TO URIDINE EDITING,0.011648,0.70207,0.60347,1,1
SCLC-A2,GO NEGATIVE REGULATION OF MACROPHAGE DERIVED FOAM CELL DIFFERENTIATION,0.00035669,0.64717,0.60213,1,1
SCLC-A2,GO REGULATION OF CD8 POSITIVE ALPHA BETA T CELL ACTIVATION,0.00051298,0.6176,0.59097,1,1
SCLC-A2,GO DETECTION OF EXTERNAL BIOTIC STIMULUS,0.00079804,0.61082,0.57754,1,1
SCLC-A2,GO AMMONIUM ION METABOLIC PROCESS,0.0002237,0.64569,0.57742,1,1
SCLC-A2,GO NEGATIVE REGULATION OF MYOTUBE DIFFERENTIATION,0.00027004,0.56833,0.57045,1,1
SCLC-A2,GO REGULATION OF ANOIKIS,0.0017084,0.5339,0.56989,1,1
SCLC-A2,GO POSITIVE REGULATION OF CELL CELL ADHESION MEDIATED BY CADHERIN,0.001448,0.42837,0.56663,1,1
SCLC-A2,GO REGULATION OF DEVELOPMENT HETEROCHRONIC,0.0010336,0.45735,0.56528,1,1
SCLC-A2,GO RESPONSE TO MUSCLE STRETCH,0.0010786,0.54441,0.56462,1,1
SCLC-A2,GO EOSINOPHIL CHEMOTAXIS,0.0018542,0.66019,0.55103,1,1
SCLC-A2,GO ADRENAL GLAND DEVELOPMENT,0.001448,0.60219,0.5357,1,1
SCLC-A2,GO POSITIVE REGULATION OF CELL ADHESION MEDIATED BY INTEGRIN,0.0027694,0.71125,0.53364,1,1
SCLC-A2,GO SPHINGOMYELIN METABOLIC PROCESS,0.0009903,0.61671,0.53335,1,1
SCLC-A2,GO CD8 POSITIVE ALPHA BETA T CELL ACTIVATION,0.00031055,0.50499,0.53129,1,1
SCLC-A2,GO O GLYCAN PROCESSING,0.00028296,0.55803,0.52929,1,1
SCLC-A2,GO NEGATIVE REGULATION OF HUMORAL IMMUNE RESPONSE,0.0066217,0.59541,0.52545,1,1
SCLC-A2,GO REGULATION OF LIPOPROTEIN METABOLIC PROCESS,0.0021804,0.59671,0.52155,1,1
SCLC-A2,GO CELLULAR RESPONSE TO EPINEPHRINE STIMULUS,0.0017799,0.50826,0.52015,1,1
SCLC-A2,GO TYPE B PANCREATIC CELL PROLIFERATION,0.0025586,0.45926,0.51602,1,1
SCLC-A2,GO RESPONSE TO EPINEPHRINE,0.0017084,0.61791,0.51562,1,1
SCLC-A2,GO EOSINOPHIL MIGRATION,0.0025586,0.63379,0.51321,1,1
SCLC-A2,GO RESPONSE TO MAGNESIUM ION,0.0015733,0.47561,0.50605,1,1
SCLC-A2,GO REGULATION OF DENDRITE EXTENSION,0.00051298,0.44243,0.50431,1,1
SCLC-A2,GO REGULATION OF TOLERANCE INDUCTION,0.0068665,0.59044,0.50391,1,1
SCLC-A2,GO CALCIUM INDEPENDENT CELL CELL ADHESION VIA PLASMA MEMBRANE CELL ADHESION MOLECULES,0.0055117,0.49035,0.50273,1,1
SCLC-A2,GO DETECTION OF CALCIUM ION,0.0019312,0.49795,0.5021,1,1
SCLC-A2,GO NEGATIVE REGULATION OF ALPHA BETA T CELL PROLIFERATION,0.0017799,0.42651,0.50207,1,1
SCLC-A2,GO NEGATIVE REGULATION OF B CELL APOPTOTIC PROCESS,0.0021804,0.44927,0.50105,1,1
SCLC-A2,GO POSITIVE REGULATION OF PROTEIN EXIT FROM ENDOPLASMIC RETICULUM,0.0012773,0.46264,0.4973,1,1
SCLC-A2,GO AMINE BIOSYNTHETIC PROCESS,0.00023453,0.55827,0.49603,1,1
SCLC-A2,GO REGULATION OF CELLULAR RESPONSE TO VASCULAR ENDOTHELIAL GROWTH FACTOR STIMULUS,0.00019396,0.50001,0.49585,1,1
SCLC-A2,GO REGULATION OF T CELL MEDIATED CYTOTOXICITY,0.0085133,0.60757,0.49547,1,1
SCLC-A2,GO NEGATIVE REGULATION OF CELL ADHESION MEDIATED BY INTEGRIN,0.0025586,0.63479,0.49251,1,1
SCLC-A2,GO REGULATORY T CELL DIFFERENTIATION,0.00037344,0.45535,0.49126,1,1
SCLC-A2,GO CHEMOKINE C X C MOTIF LIGAND 2 PRODUCTION,0.0051169,0.39485,0.48919,1,1
SCLC-A2,GO IMMUNOGLOBULIN SECRETION,0.0009903,0.54122,0.48744,1,1
SCLC-A2,GO REGULATION OF PROTEIN KINASE C SIGNALING,0.0061556,0.57229,0.48743,1,1
SCLC-A2,GO NOTCH SIGNALING INVOLVED IN HEART DEVELOPMENT,0.0040811,0.60018,0.48617,1,1
SCLC-A2,GO B CELL APOPTOTIC PROCESS,0.00051298,0.41083,0.4856,1,1
SCLC-A2,GO POSITIVE REGULATION OF CYSTEINE TYPE ENDOPEPTIDASE ACTIVITY INVOLVED IN APOPTOTIC SIGNALING PATHWAY,0.0037806,0.53385,0.48409,1,1
SCLC-A2,GO TOXIN METABOLIC PROCESS,0.0011741,0.49288,0.48021,1,1
SCLC-A2,GO NEGATIVE REGULATION OF PLATELET AGGREGATION,0.01247,0.35919,0.4774,1,1
SCLC-A2,GO REGULATION OF PLATELET AGGREGATION,0.0028806,0.52314,0.47735,1,1
SCLC-A2,GO POTASSIUM ION EXPORT ACROSS PLASMA MEMBRANE,0.0076503,0.45174,0.47726,1,1
SCLC-A2,GO PARTURITION,0.0011254,0.50747,0.47454,1,1
SCLC-A2,GO INSEMINATION,0.0035004,0.52086,0.47076,1,1
SCLC-A2,GO DETECTION OF MOLECULE OF BACTERIAL ORIGIN,0.0033675,0.44013,0.46907,1,1
SCLC-A2,GO RESPONSE TO COLD,0.00039093,0.53636,0.46701,1,1
SCLC-A2,GO PLASMA MEMBRANE PHOSPHOLIPID SCRAMBLING,0.0026621,0.48086,0.46438,1,1
SCLC-A2,GO REGULATION OF RESPIRATORY BURST,0.00024585,0.52194,0.46386,1,1
SCLC-A2,GO MATURE B CELL DIFFERENTIATION INVOLVED IN IMMUNE RESPONSE,0.0129,0.60377,0.46359,1,1
SCLC-A2,GO NEUROTRANSMITTER CATABOLIC PROCESS,0.0022699,0.43718,0.46058,1,1
SCLC-A2,GO HEART TRABECULA FORMATION,0.0025586,0.46733,0.45932,1,1
SCLC-A2,GO LUNG CELL DIFFERENTIATION,0.0076503,0.41774,0.45869,1,1
SCLC-A2,GO RESPONSE TO REDOX STATE,0.00034064,0.51455,0.45696,1,1
SCLC-A2,GO NEUROTRANSMITTER METABOLIC PROCESS,0.00040918,0.4498,0.4556,1,1
SCLC-A2,GO NEGATIVE REGULATION OF MULTICELLULAR ORGANISM GROWTH,0.0088198,0.51547,0.45362,1,1
SCLC-A2,GO LIVER MORPHOGENESIS,0.0049293,0.58011,0.45188,1,1
SCLC-A2,GO REGULATION OF HEPATOCYTE PROLIFERATION,0.014755,0.55864,0.45061,1,1
SCLC-A2,GO VASCULAR WOUND HEALING,0.0068665,0.36245,0.44852,1,1
SCLC-A2,GO ANOIKIS,0.001448,0.40394,0.44849,1,1
SCLC-A2,GO NEGATIVE REGULATION OF ANION TRANSMEMBRANE TRANSPORT,0.0039282,0.45741,0.44784,1,1
SCLC-A2,GO GLIAL CELL FATE COMMITMENT,0.01247,0.44622,0.44697,1,1
SCLC-A2,GO LIPOXYGENASE PATHWAY,0.0055117,0.54679,0.44649,1,1
SCLC-A2,GO POSITIVE REGULATION OF HEART RATE,0.00064092,0.32054,0.44313,1,1
SCLC-A2,GO POSITIVE REGULATION OF ENDOTHELIAL CELL CHEMOTAXIS,0.0024588,0.45208,0.44016,1,1
SCLC-A2,GO PARAXIAL MESODERM MORPHOGENESIS,0.0094624,0.44454,0.43929,1,1
SCLC-A2,GO POSITIVE REGULATION OF B CELL PROLIFERATION,0.00039093,0.46445,0.43721,1,1
SCLC-A2,GO GROWTH HORMONE RECEPTOR SIGNALING PATHWAY VIA JAK STAT,0.0035004,0.50835,0.43491,1,1
SCLC-A2,GO REGULATION OF PLATELET ACTIVATION,0.00094871,0.47354,0.43216,1,1
SCLC-A2,GO POSITIVE REGULATION OF FERTILIZATION,0.0029959,0.50304,0.43165,1,1
SCLC-A2,GO CELL DIFFERENTIATION INVOLVED IN EMBRYONIC PLACENTA DEVELOPMENT,0.0082164,0.42286,0.43051,1,1
SCLC-A2,GO NEGATIVE REGULATION OF HOMOTYPIC CELL CELL ADHESION,0.01857,0.32626,0.42937,1,1
SCLC-A2,GO NEURONAL ACTION POTENTIAL,0.0129,0.37243,0.4286,1,1
SCLC-A2,GO LONG CHAIN FATTY ACID CATABOLIC PROCESS,0.0039282,0.42631,0.42854,1,1
SCLC-A2,GO REGULATION OF B CELL APOPTOTIC PROCESS,0.0033675,0.42162,0.42773,1,1
SCLC-A2,GO CELLULAR RESPONSE TO LIPOPROTEIN PARTICLE STIMULUS,0.00049043,0.44683,0.42721,1,1
SCLC-A2,GO REGULATION OF NEURON MATURATION,0.00094871,0.42455,0.42683,1,1
SCLC-A2,GO POSITIVE REGULATION OF OSTEOBLAST PROLIFERATION,0.0032392,0.47832,0.42511,1,1
SCLC-A2,GO CELLULAR RESPONSE TO PURINE CONTAINING COMPOUND,0.0076503,0.42245,0.42448,1,1
SCLC-A2,GO INTESTINAL ABSORPTION,0.00044809,0.41055,0.42417,1,1
SCLC-A2,GO RENAL ABSORPTION,0.01427,0.48303,0.41324,1,1
SCLC-A2,GO REGULATION OF HOMOTYPIC CELL CELL ADHESION,0.0022699,0.40638,0.41014,1,1
SCLC-A2,GO INDOLALKYLAMINE METABOLIC PROCESS,0.0018542,0.43691,0.40971,1,1
SCLC-A2,GO REGULATION OF B CELL PROLIFERATION,0.00042822,0.47293,0.40867,1,1
SCLC-A2,GO POSITIVE REGULATION OF MAST CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE,0.021799,0.3233,0.40783,1,1
SCLC-A2,GO REGULATION OF WATER LOSS VIA SKIN,0.0085133,0.44408,0.40761,1,1
SCLC-A2,GO CELLULAR RESPONSE TO TESTOSTERONE STIMULUS,0.021799,0.52494,0.40626,1,1
SCLC-A2,GO NEGATIVE REGULATION OF SYSTEMIC ARTERIAL BLOOD PRESSURE,0.010146,0.37913,0.40556,1,1
SCLC-A2,GO ANGIOGENESIS INVOLVED IN WOUND HEALING,0.0066217,0.38237,0.40311,1,1
SCLC-A2,GO MEMBRANE LIPID CATABOLIC PROCESS,0.0022699,0.37648,0.40288,1,1
SCLC-A2,GO NEGATIVE REGULATION OF NOTCH SIGNALING PATHWAY,0.0022699,0.44152,0.40259,1,1
SCLC-A2,GO CELLULAR RESPONSE TO LOW DENSITY LIPOPROTEIN PARTICLE STIMULUS,0.0020112,0.43681,0.40221,1,1
SCLC-A2,GO NEGATIVE REGULATION OF REGULATED SECRETORY PATHWAY,0.00094871,0.44108,0.39727,1,1
SCLC-A2,GO POSITIVE REGULATION OF CYTOKINE PRODUCTION INVOLVED IN INFLAMMATORY RESPONSE,0.0022699,0.52362,0.39561,1,1
SCLC-A2,GO SERINE PHOSPHORYLATION OF STAT PROTEIN,0.0061556,0.50051,0.39483,1,1
SCLC-A2,GO REGULATION OF BONE REMODELING,0.00076401,0.44732,0.39472,1,1
SCLC-A2,GO EPITHELIAL CELL MORPHOGENESIS,0.013344,0.45582,0.39471,1,1
SCLC-A2,GO IMMUNOLOGICAL MEMORY PROCESS,0.005311,0.46773,0.39279,1,1
SCLC-A2,GO NEGATIVE REGULATION OF RECEPTOR BINDING,0.011648,0.38529,0.39253,1,1
SCLC-A2,GO KERATINOCYTE DEVELOPMENT,0.015254,0.40367,0.39149,1,1
SCLC-A2,GO POSITIVE REGULATION OF BROWN FAT CELL DIFFERENTIATION,0.0057193,0.42517,0.3914,1,1
SCLC-A2,GO POSITIVE REGULATION OF GRANULOCYTE CHEMOTAXIS,0.00039093,0.44005,0.39019,1,1
SCLC-A2,GO NEUROTRANSMITTER BIOSYNTHETIC PROCESS,0.0138,0.47709,0.38886,1,1
SCLC-A2,GO PHAGOLYSOSOME ASSEMBLY,0.0027694,0.35404,0.38663,1,1
SCLC-A2,GO NEGATIVE REGULATION OF TISSUE REMODELING,0.0013889,0.4209,0.38608,1,1
SCLC-A2,GO POSITIVE REGULATION OF ENDOPLASMIC RETICULUM STRESS INDUCED INTRINSIC APOPTOTIC SIGNALING PATHWAY,0.0063849,0.49282,0.38575,1,1
SCLC-A2,GO NEGATIVE REGULATION OF BONE REMODELING,0.0023626,0.37661,0.38365,1,1
SCLC-A2,GO RESPONSE TO CAFFEINE,0.00079804,0.40499,0.38235,1,1
SCLC-A2,GO REGULATION OF METALLOPEPTIDASE ACTIVITY,0.01427,0.45177,0.38198,1,1
SCLC-A2,GO REGULATION OF PROTEIN EXIT FROM ENDOPLASMIC RETICULUM,0.00032527,0.32477,0.38173,1,1
SCLC-A2,GO REGULATION OF CELL CELL ADHESION MEDIATED BY CADHERIN,0.0094624,0.31471,0.38161,1,1
SCLC-A2,GO POSITIVE REGULATION OF CAMP MEDIATED SIGNALING,0.0031154,0.42757,0.38101,1,1
SCLC-A2,GO POSITIVE REGULATION OF CELL KILLING,0.0023626,0.44903,0.37877,1,1
SCLC-A2,GO SEGMENT SPECIFICATION,0.010146,0.42388,0.377,1,1
SCLC-A2,GO REGULATION OF NEUTROPHIL CHEMOTAXIS,0.00058654,0.4117,0.37698,1,1
SCLC-A2,GO REGULATION OF B CELL RECEPTOR SIGNALING PATHWAY,0.0028806,0.40664,0.37644,1,1
SCLC-A2,GO NEGATIVE REGULATION OF T CELL MEDIATED IMMUNITY,0.00083347,0.41704,0.37382,1,1
SCLC-A2,GO POSITIVE REGULATION OF HEART CONTRACTION,0.00069995,0.35152,0.37205,1,1
SCLC-A2,GO INDUCTION OF POSITIVE CHEMOTAXIS,0.0040811,0.38049,0.37101,1,1
SCLC-A2,GO ORGAN OR TISSUE SPECIFIC IMMUNE RESPONSE,0.0029959,0.35293,0.36946,1,1
SCLC-A2,GO B CELL RECEPTOR SIGNALING PATHWAY,0.0012773,0.35837,0.36918,1,1
SCLC-A2,GO NEGATIVE REGULATION OF EPITHELIAL TO MESENCHYMAL TRANSITION,0.0016396,0.39681,0.36806,1,1
SCLC-A2,GO REGULATION OF TYPE B PANCREATIC CELL PROLIFERATION,0.028854,0.33388,0.36505,1,1
SCLC-A2,GO NEGATIVE REGULATION OF MYELOID CELL APOPTOTIC PROCESS,0.0032392,0.30156,0.36382,1,1
SCLC-A2,GO POSITIVE REGULATION OF INTERLEUKIN 8 PRODUCTION,0.0010786,0.35506,0.36345,1,1
SCLC-A2,GO REGULATION OF TISSUE REMODELING,0.00076401,0.41607,0.3625,1,1
SCLC-A2,GO PROTEIN O LINKED GLYCOSYLATION,0.00046881,0.37124,0.36071,1,1
SCLC-A2,GO DENDRITE EXTENSION,0.0026621,0.24399,0.35912,1,1
SCLC-A2,GO NEGATIVE REGULATION OF STRIATED MUSCLE CELL DIFFERENTIATION,0.0085133,0.47833,0.35726,1,1
SCLC-A2,GO CALCIUM ION REGULATED EXOCYTOSIS OF NEUROTRANSMITTER,0.023963,0.19328,0.35554,1,1
SCLC-A2,GO REGULATION OF MACROPHAGE DERIVED FOAM CELL DIFFERENTIATION,0.0025586,0.372,0.35514,1,1
SCLC-A2,GO HYDROGEN PEROXIDE BIOSYNTHETIC PROCESS,0.0085133,0.36663,0.35136,1,1
SCLC-A2,GO INTRINSIC APOPTOTIC SIGNALING PATHWAY IN RESPONSE TO ENDOPLASMIC RETICULUM STRESS,0.0012247,0.3573,0.34922,1,1
SCLC-A2,GO NEGATIVE REGULATION OF INTERLEUKIN 10 PRODUCTION,0.012053,0.4444,0.34763,1,1
SCLC-A2,GO PROTEIN KINASE C SIGNALING,0.0045725,0.38766,0.3474,1,1
SCLC-A2,GO ACTIVATION OF ADENYLATE CYCLASE ACTIVITY,0.0010786,0.42629,0.3465,1,1
SCLC-A2,GO RESPONSE TO INTERLEUKIN 2,0.00090875,0.34214,0.34549,1,1
SCLC-A2,GO POSITIVE REGULATION OF LEUKOCYTE DEGRANULATION,0.005311,0.3119,0.34522,1,1
SCLC-A2,GO PROTEIN DEMANNOSYLATION,0.0027694,0.31846,0.34459,1,1
SCLC-A2,GO LEUKOCYTE ADHESION TO VASCULAR ENDOTHELIAL CELL,0.00024585,0.3367,0.34447,1,1
SCLC-A2,GO REGULATION OF ICOSANOID SECRETION,0.00066983,0.33334,0.34416,1,1
SCLC-A2,GO MATURE B CELL DIFFERENTIATION,0.015254,0.36598,0.34379,1,1
SCLC-A2,GO NEGATIVE REGULATION OF B CELL PROLIFERATION,0.0029959,0.27282,0.3435,1,1
SCLC-A2,GO TOLL LIKE RECEPTOR 4 SIGNALING PATHWAY,0.0032392,0.42231,0.34317,1,1
SCLC-A2,GO RELAXATION OF CARDIAC MUSCLE,0.01427,0.41414,0.34178,1,1
SCLC-A2,GO NEGATIVE REGULATION OF B CELL MEDIATED IMMUNITY,0.01247,0.42069,0.34165,1,1
SCLC-A2,GO ANTIBACTERIAL HUMORAL RESPONSE,0.0018542,0.34506,0.34071,1,1
SCLC-A2,GO REGULATION OF OSTEOCLAST DEVELOPMENT,0.011648,0.43724,0.33967,1,1
SCLC-A2,GO NEGATIVE REGULATION OF MUSCLE CELL DIFFERENTIATION,0.0045725,0.39988,0.33699,1,1
SCLC-A2,GO REGULATION OF CELL ADHESION MEDIATED BY INTEGRIN,0.0025586,0.39927,0.33657,1,1
SCLC-A2,GO POSITIVE REGULATION OF WOUND HEALING,0.0036381,0.38993,0.33617,1,1
SCLC-A2,GO MITOCHONDRIAL DEPOLARIZATION,0.0020943,0.34793,0.33595,1,1
SCLC-A2,GO MAGNESIUM ION TRANSPORT,0.00087036,0.39251,0.33529,1,1
SCLC-A2,GO REGULATION OF T CELL MIGRATION,0.001448,0.38839,0.33501,1,1
SCLC-A2,GO DOPAMINE METABOLIC PROCESS,0.0025586,0.28516,0.33375,1,1
SCLC-A2,GO POLY N ACETYLLACTOSAMINE METABOLIC PROCESS,0.0045725,0.28731,0.33315,1,1
SCLC-A2,GO POSITIVE REGULATION OF INTERLEUKIN 12 PRODUCTION,0.0025586,0.37485,0.33303,1,1
SCLC-A2,GO REGULATION OF SPHINGOLIPID BIOSYNTHETIC PROCESS,0.0015095,0.4007,0.33286,1,1
SCLC-A2,GO CELLULAR RESPONSE TO THYROID HORMONE STIMULUS,0.01684,0.3657,0.33188,1,1
SCLC-A2,GO VASCULAR ENDOTHELIAL GROWTH FACTOR SIGNALING PATHWAY,0.0023626,0.32679,0.32945,1,1
