archetype #,Feature Name,P value (Mann-Whitney),Median Difference,Mean Difference,Significant after Benjamini-Hochberg correction?,Is first bin maximal?
1,GO TRAIL ACTIVATED APOPTOTIC SIGNALING PATHWAY,0.00034064,1.1932,1.0554,1,1
1,GO NEGATIVE REGULATION OF SINGLE STRANDED VIRAL RNA REPLICATION VIA DOUBLE STRANDED DNA INTERMEDIATE,0.00039093,1.1739,0.94452,1,1
1,GO INFLAMMATORY RESPONSE TO WOUNDING,0.00018491,1.1473,1.1521,1,1
1,GO REGULATION OF PHOSPHOLIPASE A2 ACTIVITY,8.4434e-05,1.144,1.1439,1,1
1,GO NEGATIVE REGULATION OF VIRAL GENOME REPLICATION,0.00031055,1.1404,0.90456,1,1
1,GO GLYCOPROTEIN CATABOLIC PROCESS,5.3491e-05,1.1331,1.0905,1,1
1,GO ZYMOGEN INHIBITION,0.00011376,1.1273,1.0794,1,1
1,GO REGULATION OF PINOCYTOSIS,8.0303e-05,1.1266,0.95382,1,1
1,GO PINOCYTOSIS,0.00013179,1.1196,0.88113,1,1
1,GO INTERLEUKIN 27 MEDIATED SIGNALING PATHWAY,0.0001255,1.119,1.0328,1,1
1,GO POSITIVE REGULATION OF INTERLEUKIN 13 PRODUCTION,0.00016797,1.102,0.97849,1,1
1,GO NEGATIVE REGULATION OF NATURAL KILLER CELL MEDIATED IMMUNITY,0.0011741,1.0948,0.98804,1,1
1,GO ENDODERMAL CELL DIFFERENTIATION,5.9259e-05,1.0905,1.186,1,1
1,GO POSITIVE REGULATION OF MACROPHAGE DIFFERENTIATION,0.00034064,1.0858,0.88321,1,1
1,GO NEGATIVE REGULATION OF PROTEIN MATURATION,0.00013179,1.0827,0.83533,1,1
1,GO REGULATION OF FIBRINOLYSIS,0.00028296,1.0778,0.93846,1,1
1,GO CD40 SIGNALING PATHWAY,4.8258e-05,1.0677,1.0204,1,1
1,GO REGULATION OF EXTRACELLULAR MATRIX ASSEMBLY,0.0039282,1.0654,0.90004,1,1
1,GO T HELPER 1 CELL DIFFERENTIATION,8.8765e-05,1.0586,0.9464,1,1
1,GO POSITIVE REGULATION OF EXTRACELLULAR MATRIX ORGANIZATION,0.00042822,1.0511,0.90788,1,1
1,GO REGULATION OF METANEPHROS DEVELOPMENT,0.00010305,1.0483,1.046,1,1
1,GO PYRIMIDINE NUCLEOSIDE CATABOLIC PROCESS,3.9213e-05,1.0411,1.0094,1,1
1,GO REGULATION OF EXTRACELLULAR MATRIX ORGANIZATION,0.00058654,1.0321,0.80513,1,1
1,GO POSITIVE REGULATION OF PRODUCTION OF MIRNAS INVOLVED IN GENE SILENCING BY MIRNA,0.00019396,1.0269,0.97969,1,1
1,GO ANTIGEN PROCESSING AND PRESENTATION VIA MHC CLASS IB,0.00094871,1.0108,0.97657,1,1
1,GO REGULATION OF TYPE 2 IMMUNE RESPONSE,9.3306e-05,1.008,0.90174,1,1
1,GO NEGATIVE REGULATION OF COAGULATION,7.6363e-05,1.0006,0.90581,1,1
1,GO NEGATIVE REGULATION OF NECROTIC CELL DEATH,0.00023453,1.0002,0.95428,1,1
1,GO NEGATIVE REGULATION OF LEUKOCYTE MEDIATED CYTOTOXICITY,0.00094871,0.99887,1.018,1,1
1,GO TOLL LIKE RECEPTOR 3 SIGNALING PATHWAY,0.00032527,0.9973,0.82842,1,1
1,GO APOPTOTIC CELL CLEARANCE,6.5613e-05,0.99701,0.95927,1,1
1,GO GLOMERULAR EPITHELIAL CELL DEVELOPMENT,7.2607e-05,0.99055,1.0185,1,1
1,GO GLOMERULAR MESANGIUM DEVELOPMENT,9.8065e-05,0.98832,0.94644,1,1
1,GO PLASMINOGEN ACTIVATION,0.0011741,0.98017,0.87137,1,1
1,GO ENDODERM FORMATION,5.9259e-05,0.9752,1.0473,1,1
1,GO DICHOTOMOUS SUBDIVISION OF AN EPITHELIAL TERMINAL UNIT,0.00029645,0.97252,0.96951,1,1
1,GO NEGATIVE REGULATION OF NITRIC OXIDE METABOLIC PROCESS,5.9259e-05,0.97221,0.97595,1,1
1,GO HEMIDESMOSOME ASSEMBLY,0.00039093,0.97186,1.0607,1,1
1,GO REGULATION OF MEMBRANE PROTEIN ECTODOMAIN PROTEOLYSIS,0.00014528,0.97139,0.87311,1,1
1,GO RENAL SYSTEM VASCULATURE DEVELOPMENT,7.6363e-05,0.96717,1.0243,1,1
1,GO NEGATIVE REGULATION OF PATHWAY RESTRICTED SMAD PROTEIN PHOSPHORYLATION,0.0017084,0.96491,0.99984,1,1
1,GO CELLULAR RESPONSE TO EXOGENOUS DSRNA,6.2359e-05,0.96274,0.84669,1,1
1,GO CHAPERONE MEDIATED AUTOPHAGY,5.3491e-05,0.96247,0.92304,1,1
1,GO RESPONSE TO TYPE I INTERFERON,0.00073133,0.96119,0.84145,1,1
1,GO CELL CELL ADHESION MEDIATED BY INTEGRIN,0.00011376,0.95767,0.95712,1,1
1,GO NEGATIVE REGULATION OF INTERLEUKIN 8 PRODUCTION,8.0303e-05,0.953,0.92134,1,1
1,GO POSITIVE REGULATION OF MEMBRANE PROTEIN ECTODOMAIN PROTEOLYSIS,8.4434e-05,0.94705,0.9821,1,1
1,GO NEGATIVE REGULATION OF MULTI ORGANISM PROCESS,9.8065e-05,0.93354,0.92434,1,1
1,GO NEGATIVE REGULATION OF VIRAL LIFE CYCLE,0.0002237,0.92807,0.81185,1,1
1,GO COLLAGEN CATABOLIC PROCESS,5.3491e-05,0.92799,0.81471,1,1
1,GO NEGATIVE REGULATION OF CELL KILLING,0.0009903,0.92777,0.93093,1,1
1,GO COLLAGEN BIOSYNTHETIC PROCESS,5.6305e-05,0.92582,1.0459,1,1
1,GO NEGATIVE REGULATION OF TYROSINE PHOSPHORYLATION OF STAT PROTEIN,0.00024585,0.92276,0.85794,1,1
1,GO ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I,0.00014528,0.92226,0.80719,1,1
1,GO NEGATIVE REGULATION OF EXTRINSIC APOPTOTIC SIGNALING PATHWAY VIA DEATH DOMAIN RECEPTORS,9.8065e-05,0.91385,0.86735,1,1
1,GO POSITIVE REGULATION OF BLOOD VESSEL ENDOTHELIAL CELL MIGRATION,4.131e-05,0.91301,0.92367,1,1
1,GO ENTRY INTO HOST,0.00011949,0.91146,0.74356,1,1
1,GO TYPE 2 IMMUNE RESPONSE,9.3306e-05,0.90611,0.80152,1,1
1,GO REGULATION OF EXTRACELLULAR MATRIX DISASSEMBLY,0.00025768,0.90442,1.0014,1,1
1,GO METANEPHRIC NEPHRON EPITHELIUM DEVELOPMENT,0.0002237,0.90359,0.81639,1,1
1,GO ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN VIA MHC CLASS I,0.00016006,0.90231,0.75749,1,1
1,GO SINGLE STRANDED VIRAL RNA REPLICATION VIA DOUBLE STRANDED DNA INTERMEDIATE,0.00032527,0.90151,0.73726,1,1
1,GO REGULATION OF T HELPER 1 TYPE IMMUNE RESPONSE,9.3306e-05,0.89838,0.91558,1,1
1,GO RIBONUCLEOSIDE CATABOLIC PROCESS,0.00011376,0.8978,0.82274,1,1
1,GO MYD88 INDEPENDENT TOLL LIKE RECEPTOR SIGNALING PATHWAY,0.00053648,0.88998,0.66434,1,1
1,GO T CELL EXTRAVASATION,0.00040918,0.8887,0.85155,1,1
1,GO POSITIVE REGULATION OF COLLAGEN METABOLIC PROCESS,8.0303e-05,0.88629,0.8921,1,1
1,GO POSITIVE REGULATION BY HOST OF VIRAL PROCESS,6.9026e-05,0.88033,0.83782,1,1
1,GO POSITIVE REGULATION OF T HELPER 1 TYPE IMMUNE RESPONSE,0.0001525,0.87738,0.83305,1,1
1,GO NUCLEOSIDE SALVAGE,0.00040918,0.87396,0.74722,1,1
1,GO INFLAMMATORY CELL APOPTOTIC PROCESS,6.5613e-05,0.87293,0.90074,1,1
1,GO NEGATIVE REGULATION OF VIRAL PROCESS,0.00027004,0.86982,0.71927,1,1
1,GO GLOMERULAR MESANGIAL CELL PROLIFERATION,0.00017625,0.86582,0.92094,1,1
1,GO POSITIVE REGULATION OF POSTTRANSCRIPTIONAL GENE SILENCING,0.00016797,0.86519,0.74483,1,1
1,GO INTERLEUKIN 35 MEDIATED SIGNALING PATHWAY,0.00034064,0.86409,0.78027,1,1
1,GO PURINE NUCLEOSIDE BIOSYNTHETIC PROCESS,8.0303e-05,0.86011,0.72918,1,1
1,GO CHRONIC INFLAMMATORY RESPONSE,0.00010305,0.85987,0.84013,1,1
1,GO REGULATION OF CELL PROLIFERATION INVOLVED IN KIDNEY DEVELOPMENT,0.0009903,0.85921,0.79355,1,1
1,GO NEGATIVE REGULATION OF CYTOKINE PRODUCTION INVOLVED IN IMMUNE RESPONSE,6.9026e-05,0.85917,0.89496,1,1
1,GO RESPONSE TO MURAMYL DIPEPTIDE,5.6305e-05,0.85744,0.80823,1,1
1,GO REGULATION OF CELL CELL ADHESION MEDIATED BY INTEGRIN,0.00049043,0.85608,0.81388,1,1
1,GO POSITIVE REGULATION OF PHAGOCYTOSIS ENGULFMENT,0.00035669,0.85439,0.84345,1,1
1,GO BRANCHING INVOLVED IN SALIVARY GLAND MORPHOGENESIS,0.00011376,0.85262,0.87132,1,1
1,GO POSITIVE REGULATION OF CHEMOKINE BIOSYNTHETIC PROCESS,0.00027004,0.85151,0.88379,1,1
1,GO CELLULAR RESPONSE TO INTERFERON BETA,0.00094871,0.84799,0.63499,1,1
1,GO CELLULAR RESPONSE TO OXIDISED LOW DENSITY LIPOPROTEIN PARTICLE STIMULUS,0.0051169,0.8478,0.77531,1,1
1,GO NEGATIVE REGULATION OF T HELPER CELL DIFFERENTIATION,0.00011376,0.84731,0.83195,1,1
1,GO REGULATION OF PROGRAMMED NECROTIC CELL DEATH,0.00013838,0.84589,0.89769,1,1
1,GO SKIN MORPHOGENESIS,0.00042822,0.84374,0.95062,1,1
1,GO REGULATION OF MACROPHAGE DIFFERENTIATION,0.0002237,0.84349,0.81371,1,1
1,GO CELLULAR RESPONSE TO DSRNA,6.5613e-05,0.83951,0.74654,1,1
1,GO MODULATION BY HOST OF VIRAL PROCESS,0.00013838,0.83903,0.77751,1,1
1,GO CHEMOKINE BIOSYNTHETIC PROCESS,0.00016797,0.83731,0.96249,1,1
1,GO DNA DEAMINATION,0.00042822,0.83587,0.74129,1,1
1,GO POSITIVE REGULATION OF TUMOR NECROSIS FACTOR MEDIATED SIGNALING PATHWAY,0.0027694,0.83513,0.74168,1,1
1,GO PYRIMIDINE NUCLEOSIDE BIOSYNTHETIC PROCESS,4.3513e-05,0.83272,0.79253,1,1
1,GO CELLULAR COPPER ION HOMEOSTASIS,8.8765e-05,0.83056,0.81228,1,1
1,GO LEUKOCYTE AGGREGATION,0.012053,0.8277,0.65722,1,1
1,GO REGULATION OF T CELL CYTOKINE PRODUCTION,0.00017625,0.82768,0.67535,1,1
1,GO EXTRACELLULAR REGULATION OF SIGNAL TRANSDUCTION,0.01857,0.82456,0.72882,1,1
1,GO REPLICATIVE SENESCENCE,0.0042393,0.82023,0.5859,1,1
1,GO NEGATIVE REGULATION OF CD4 POSITIVE ALPHA BETA T CELL DIFFERENTIATION,0.00016797,0.81584,0.79093,1,1
1,GO POSITIVE REGULATION OF HORMONE METABOLIC PROCESS,0.0022699,0.81391,0.64233,1,1
1,GO METANEPHRIC EPITHELIUM DEVELOPMENT,0.00016006,0.81259,0.73881,1,1
1,GO POSITIVE REGULATION OF NITRIC OXIDE METABOLIC PROCESS,0.0012247,0.80826,0.61819,1,1
1,GO GAP JUNCTION ASSEMBLY,0.00016006,0.80756,0.76637,1,1
1,GO MEMBRANE PROTEIN ECTODOMAIN PROTEOLYSIS,0.00013179,0.80702,0.72358,1,1
1,GO REGULATION OF EXTRINSIC APOPTOTIC SIGNALING PATHWAY VIA DEATH DOMAIN RECEPTORS,0.00051298,0.80148,0.66312,1,1
1,GO NEGATIVE REGULATION OF CELLULAR SENESCENCE,5.6305e-05,0.80127,0.80361,1,1
1,GO POSITIVE REGULATION OF INTERLEUKIN 17 PRODUCTION,9.3306e-05,0.80016,0.87634,1,1
1,GO POSITIVE REGULATION OF CELL SUBSTRATE JUNCTION ORGANIZATION,0.004403,0.79914,0.61494,1,1
1,GO INTERFERON GAMMA MEDIATED SIGNALING PATHWAY,0.0073805,0.79857,0.58732,1,1
1,GO REGULATION OF GLOMERULUS DEVELOPMENT,0.0011254,0.79729,0.71107,1,1
1,GO LOW DENSITY LIPOPROTEIN PARTICLE RECEPTOR CATABOLIC PROCESS,0.00040918,0.79548,0.68214,1,1
1,GO BLOOD VESSEL REMODELING,6.5613e-05,0.79295,0.68156,1,1
1,GO VASCULOGENESIS,4.5827e-05,0.79137,0.73246,1,1
1,GO NUCLEOSIDE CATABOLIC PROCESS,4.8258e-05,0.79125,0.79484,1,1
1,GO REGULATION OF NITRIC OXIDE BIOSYNTHETIC PROCESS,0.00014528,0.78704,0.66826,1,1
1,GO MUCUS SECRETION,0.0066217,0.78557,0.61514,1,1
1,GO COPPER ION HOMEOSTASIS,8.0303e-05,0.78215,0.70441,1,1
1,GO NEGATIVE REGULATION OF PRODUCTION OF MOLECULAR MEDIATOR OF IMMUNE RESPONSE,6.2359e-05,0.78111,0.84018,1,1
1,GO PYRIMIDINE NUCLEOSIDE METABOLIC PROCESS,3.9213e-05,0.7808,0.76899,1,1
1,GO REGULATION OF COLLAGEN METABOLIC PROCESS,9.8065e-05,0.77807,0.85357,1,1
1,GO GLYCOSYL COMPOUND CATABOLIC PROCESS,5.3491e-05,0.77613,0.70331,1,1
1,GO ENDODERM DEVELOPMENT,0.00010828,0.77482,0.7914,1,1
1,GO REGULATION OF VIRAL GENOME REPLICATION,0.00044809,0.77128,0.6259,1,1
1,GO CELLULAR RESPONSE TO MECHANICAL STIMULUS,0.0012247,0.77099,0.60912,1,1
1,GO ANIMAL ORGAN REGENERATION,0.00013179,0.77078,0.62734,1,1
1,GO NEGATIVE REGULATION OF LIPASE ACTIVITY,0.00020344,0.77067,0.73147,1,1
1,GO REGULATION OF ANTIGEN PROCESSING AND PRESENTATION,0.00017625,0.76672,0.68662,1,1
1,GO RESPONSE TO INTERFERON GAMMA,0.00058654,0.76497,0.62456,1,1
1,GO POSITIVE REGULATION OF TYPE 2 IMMUNE RESPONSE,0.0015095,0.76474,0.63833,1,1
1,GO PROGRAMMED NECROTIC CELL DEATH,0.00034064,0.76428,0.65424,1,1
1,GO MOVEMENT IN HOST ENVIRONMENT,0.00013838,0.76415,0.6336,1,1
1,GO LIVER REGENERATION,7.2607e-05,0.76385,0.70424,1,1
1,GO HIGH DENSITY LIPOPROTEIN PARTICLE ASSEMBLY,9.3306e-05,0.76107,0.68868,1,1
1,GO NEGATIVE REGULATION OF MULTICELLULAR ORGANISM GROWTH,0.014755,0.75744,0.59411,1,1
1,GO NEGATIVE REGULATION OF ERBB SIGNALING PATHWAY,0.0018542,0.75517,0.55709,1,1
1,GO REGULATION OF CELL MIGRATION INVOLVED IN SPROUTING ANGIOGENESIS,5.9259e-05,0.7541,0.85894,1,1
1,GO NEGATIVE REGULATION OF CELL AGING,4.131e-05,0.75383,0.74928,1,1
1,GO POSITIVE REGULATION OF VASOCONSTRICTION,3.9213e-05,0.75239,0.69292,1,1
1,GO GLYCOSYL COMPOUND BIOSYNTHETIC PROCESS,4.8258e-05,0.75183,0.69153,1,1
1,GO LIPOPOLYSACCHARIDE MEDIATED SIGNALING PATHWAY,0.00046881,0.7512,0.6449,1,1
1,GO COLLAGEN METABOLIC PROCESS,5.3491e-05,0.75044,0.82088,1,1
1,GO SNRNA METABOLIC PROCESS,0.020453,0.74964,0.59015,1,1
1,GO POSITIVE REGULATION OF T HELPER CELL DIFFERENTIATION,0.0001525,0.7475,0.72779,1,1
1,GO SMAD PROTEIN COMPLEX ASSEMBLY,0.001448,0.74707,0.62852,1,1
1,GO METANEPHRIC GLOMERULUS DEVELOPMENT,0.00079804,0.74645,0.73942,1,1
1,GO CELL ADHESION MEDIATED BY INTEGRIN,0.00031055,0.74418,0.65223,1,1
1,GO POSITIVE REGULATION OF RESPONSE TO CYTOKINE STIMULUS,0.0071194,0.73787,0.57633,1,1
1,GO REGULATION OF CYTOKINE PRODUCTION INVOLVED IN IMMUNE RESPONSE,0.00013838,0.73598,0.61996,1,1
1,GO MODULATION BY HOST OF VIRAL GENOME REPLICATION,0.00020344,0.73527,0.73145,1,1
1,GO CYTIDINE TO URIDINE EDITING,0.0082164,0.73492,0.65072,1,1
1,GO CELL DIFFERENTIATION INVOLVED IN METANEPHROS DEVELOPMENT,0.00087036,0.73423,0.65127,1,1
1,GO CD4 POSITIVE ALPHA BETA T CELL CYTOKINE PRODUCTION,0.0023626,0.73197,0.57833,1,1
1,GO NEGATIVE REGULATION OF SKELETAL MUSCLE TISSUE DEVELOPMENT,0.00053648,0.72878,0.69671,1,1
1,GO REGULATION OF RECEPTOR CATABOLIC PROCESS,0.0017084,0.72542,0.60857,1,1
1,GO INTERLEUKIN 17 PRODUCTION,7.2607e-05,0.72335,0.69037,1,1
1,GO VAGINA DEVELOPMENT,0.00020344,0.72303,0.80446,1,1
1,GO T CELL MEDIATED CYTOTOXICITY,0.0013889,0.72227,0.67032,1,1
1,GO POSITIVE REGULATION OF INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS,0.0002237,0.72194,0.70766,1,1
1,GO NEGATIVE REGULATION OF VIRAL TRANSCRIPTION,0.00040918,0.72059,0.6627,1,1
1,GO BLOOD VESSEL ENDOTHELIAL CELL PROLIFERATION INVOLVED IN SPROUTING ANGIOGENESIS,0.00025768,0.71761,0.69358,1,1
1,GO CELLULAR RESPONSE TO MOLECULE OF BACTERIAL ORIGIN,0.00035669,0.717,0.63565,1,1
1,GO BASEMENT MEMBRANE ORGANIZATION,0.00018491,0.71496,0.86852,1,1
1,GO DEFENSE RESPONSE TO VIRUS,0.00083347,0.71471,0.51891,1,1
1,GO HYALURONAN METABOLIC PROCESS,6.5613e-05,0.71278,0.65362,1,1
1,GO IMMATURE T CELL PROLIFERATION,0.0011741,0.71269,0.62426,1,1
1,GO NEGATIVE REGULATION OF RECEPTOR SIGNALING PATHWAY VIA JAK STAT,0.0009903,0.70911,0.56621,1,1
1,GO REGULATION OF SYNCYTIUM FORMATION BY PLASMA MEMBRANE FUSION,0.00014528,0.70663,0.73833,1,1
1,GO PIGMENT GRANULE MATURATION,0.0051169,0.70558,0.48731,1,1
1,GO CELLULAR DEFENSE RESPONSE,0.0013889,0.70535,0.48501,1,1
1,GO ZYMOGEN ACTIVATION,0.00049043,0.70525,0.63601,1,1
1,GO POSITIVE REGULATION OF SUBSTRATE ADHESION DEPENDENT CELL SPREADING,9.3306e-05,0.70346,0.69978,1,1
1,GO ANGIOTENSIN ACTIVATED SIGNALING PATHWAY,8.0303e-05,0.70322,0.82468,1,1
1,GO OLIGOSACCHARIDE CATABOLIC PROCESS,0.00040918,0.70289,0.68188,1,1
1,GO T CELL CYTOKINE PRODUCTION,0.00023453,0.70192,0.57201,1,1
1,GO REGULATION OF VIRAL LIFE CYCLE,0.00024585,0.70093,0.6069,1,1
1,GO REGULATION OF MEMBRANE INVAGINATION,0.0013889,0.70057,0.58699,1,1
1,GO NEGATIVE REGULATION OF TYPE I INTERFERON PRODUCTION,0.00027004,0.69968,0.61692,1,1
1,GO LOW DENSITY LIPOPROTEIN RECEPTOR PARTICLE METABOLIC PROCESS,0.00034064,0.6965,0.6515,1,1
1,GO T HELPER 1 TYPE IMMUNE RESPONSE,0.00010305,0.69629,0.70178,1,1
1,GO POSITIVE REGULATION OF TYPE I INTERFERON MEDIATED SIGNALING PATHWAY,0.0036381,0.69553,0.69358,1,1
1,GO POSITIVE REGULATION OF REACTIVE OXYGEN SPECIES BIOSYNTHETIC PROCESS,0.0011741,0.69535,0.51529,1,1
1,GO REGULATION OF PROTEIN DEUBIQUITINATION,0.00037344,0.6951,0.6265,1,1
1,GO NEGATIVE REGULATION OF MONOOXYGENASE ACTIVITY,0.00037344,0.69404,0.7173,1,1
1,GO NEPHRON TUBULE EPITHELIAL CELL DIFFERENTIATION,0.0022699,0.69372,0.66265,1,1
1,GO PULMONARY VALVE MORPHOGENESIS,0.023222,0.69174,0.62237,1,1
1,GO T CELL MEDIATED IMMUNITY,0.00023453,0.69064,0.60731,1,1
1,GO POSITIVE REGULATION OF FIBROBLAST PROLIFERATION,0.0012247,0.68835,0.5563,1,1
1,GO POSITIVE REGULATION OF T CELL MEDIATED CYTOTOXICITY,0.0039282,0.68777,0.61752,1,1
1,GO POSITIVE REGULATION OF PHAGOCYTOSIS,0.00013179,0.68735,0.62726,1,1
1,GO MEMBRANE PROTEIN INTRACELLULAR DOMAIN PROTEOLYSIS,0.0001525,0.68693,0.63056,1,1
1,GO GLYCOLIPID CATABOLIC PROCESS,0.00049043,0.68581,0.62879,1,1
1,GO NEGATIVE REGULATION OF MUSCLE ADAPTATION,0.010874,0.68363,0.53081,1,1
1,GO NEGATIVE REGULATION OF IMMUNE EFFECTOR PROCESS,6.5613e-05,0.68265,0.64168,1,1
1,GO NEGATIVE REGULATION OF EPITHELIAL CELL APOPTOTIC PROCESS,0.0001525,0.68184,0.61383,1,1
1,GO CYTOLYSIS,8.0303e-05,0.6781,0.65413,1,1
1,GO NEGATIVE REGULATION OF ALPHA BETA T CELL DIFFERENTIATION,0.0002237,0.67809,0.67772,1,1
1,GO CYSTEINE METABOLIC PROCESS,0.015254,0.67688,0.49376,1,1
1,GO NUCLEOTIDE SALVAGE,0.0019312,0.67651,0.59641,1,1
1,GO REGULATION OF UNSATURATED FATTY ACID BIOSYNTHETIC PROCESS,0.00061317,0.67322,0.71601,1,1
1,GO POSITIVE REGULATION OF I KAPPAB KINASE NF KAPPAB SIGNALING,0.00090875,0.67311,0.52463,1,1
1,GO REGULATION OF MYOBLAST FUSION,0.00023453,0.67256,0.80627,1,1
1,GO PROTEASOMAL UBIQUITIN INDEPENDENT PROTEIN CATABOLIC PROCESS,0.0011741,0.67086,0.58356,1,1
1,GO REGULATION OF PRODUCTION OF SMALL RNA INVOLVED IN GENE SILENCING BY RNA,0.00032527,0.67079,0.58382,1,1
1,GO INTERACTION WITH HOST,0.00018491,0.6688,0.52959,1,1
1,GO POSITIVE REGULATION OF METANEPHROS DEVELOPMENT,0.0027694,0.66858,0.79908,1,1
1,GO REGULATION OF RESPONSE TO INTERFERON GAMMA,0.028854,0.6649,0.43225,1,1
1,GO REGULATION OF NECROTIC CELL DEATH,0.00034064,0.66398,0.65613,1,1
1,GO POSITIVE REGULATION OF PRI MIRNA TRANSCRIPTION BY RNA POLYMERASE II,0.0025586,0.66359,0.5623,1,1
1,GO VIRAL GENOME REPLICATION,0.00044809,0.66322,0.53267,1,1
1,GO REGULATION OF NATURAL KILLER CELL ACTIVATION,0.0002237,0.66285,0.58172,1,1
1,GO POSITIVE REGULATION OF ALPHA BETA T CELL PROLIFERATION,0.0017084,0.66251,0.54754,1,1
1,GO POSITIVE REGULATION OF MONOCYTE DIFFERENTIATION,0.00035669,0.66175,0.65179,1,1
1,GO REGULATION OF INTEGRIN MEDIATED SIGNALING PATHWAY,0.00056099,0.66173,0.96094,1,1
1,GO POSITIVE REGULATION OF NATURAL KILLER CELL ACTIVATION,0.00035669,0.66117,0.62767,1,1
1,GO NEGATIVE REGULATION OF LEUKOCYTE MEDIATED IMMUNITY,0.00040918,0.65848,0.6069,1,1
1,GO REGULATION OF ENDOTHELIAL CELL CHEMOTAXIS,0.00039093,0.65737,0.71097,1,1
1,GO POSITIVE REGULATION OF CYTOKINE PRODUCTION INVOLVED IN IMMUNE RESPONSE,0.00083347,0.65614,0.51404,1,1
1,GO NEGATIVE REGULATION OF WOUND HEALING,0.00023453,0.65555,0.58598,1,1
1,GO REGULATION OF COAGULATION,0.00028296,0.65549,0.586,1,1
1,GO POSITIVE REGULATION OF ADAPTIVE IMMUNE RESPONSE,6.9026e-05,0.65545,0.62472,1,1
1,GO GERMINAL CENTER FORMATION,0.0020943,0.65465,0.56181,1,1
1,GO POSITIVE REGULATION OF MACROPHAGE ACTIVATION,0.0016396,0.65279,0.62005,1,1
1,GO REGULATION OF AMYLOID BETA CLEARANCE,0.0017799,0.65094,0.55894,1,1
1,GO RESPONSE TO FLUID SHEAR STRESS,9.8065e-05,0.65084,0.59576,1,1
1,GO MAMMARY GLAND EPITHELIAL CELL PROLIFERATION,0.00035669,0.64773,0.5312,1,1
1,GO POSITIVE REGULATION OF ERAD PATHWAY,3.9213e-05,0.64733,0.65648,1,1
1,GO POSITIVE REGULATION OF SPROUTING ANGIOGENESIS,0.00013838,0.64657,0.66029,1,1
1,GO NEGATIVE REGULATION OF ENDOTHELIAL CELL APOPTOTIC PROCESS,0.00032527,0.64625,0.54391,1,1
